name,zone_1_min,zone_1_max,zone_1_penalty,zone_2_min,zone_2_max,zone_2_penalty,zone_3_min,zone_3_max,zone_3_penalty,zone_4_min,zone_4_max,zone_4_penalty
Barkley,0,30,1000,30,60,100,60,90,0,90,100,10
Center_Hill,0,35,1000,35,100,0,,,,,,
