source,sink,susceptance,line_cap,type,source_kv,sink_kv,distance,n_conductors,n_circuits,pownet_stability_limit,pownet_thermal_limit,pownet_line_capacity,pownet_reactance_pu,pownet_susceptance
Phontong,Donkoi,0.196,250,acsr,115,115,14.3229,2,2,4834.0,422.0,422.0,5.22499392,2531
Donkoi,Thanaleng,0.166,250,acsr,115,115,16.9125,2,2,4094.0,422.0,422.0,6.1696800000000005,2143
Thanaleng,EGATNongKhai,0.257,400,acsr,115,115,10.9,2,2,6352.0,422.0,422.0,3.9763200000000003,3325
Phontong,EGATNongKhai,0.119,800,acsr,115,115,25.7,2,2,2694.0,422.0,422.0,9.37536,1410
NamMang3,NabongWest,0.065,800,acsr,115,115,46.6313,1,1,743.0,211.0,211.0,17.011098240000003,777
NabongWest,Khoksaad,0.067,800,acsr,115,115,45.6616,1,1,758.0,211.0,211.0,16.65735168,793
NamNgum2,Nabong,0.039,1700,acsr,230,230,72.6349,1,1,1908.0,422.0,422.0,26.49721152,1996
Nabong,EGATUdon3,0.046,3400,acsr,500,500,54.0,1,1,19017.0,3481.0,3481.0,12.5604,19903
Phonsavan,Xamneual,0.017,250,acsr,115,115,166.43,1,1,209.0,211.0,209.0,60.713664,217
NamNgum5,Phonsavan,0.032,250,acsr,115,115,87.0991,1,1,398.0,211.0,211.0,31.773751680000004,416
Phonsavan,Nahor,0.087,250,acsr,115,115,32.0343,1,1,1081.0,211.0,211.0,11.686112640000001,1131
NamNgiep3A,Nahor,0.153,250,acsr,115,115,18.2627,1,1,1896.0,211.0,211.0,6.66223296,1985
Nahor,Tongkhoun2,0.066,250,acsr,115,115,42.5377,1,1,814.0,211.0,211.0,15.517752960000001,852
Tongkhoun2,Tongkhoun1,0.156,250,acsr,115,115,17.9762,2,2,3852.0,422.0,422.0,6.55771776,2016
Tongkhoun1,PhubiaMinning,0.207,250,acsr,115,115,13.5483,1,1,2555.0,211.0,211.0,4.94241984,2675
NamLeuk,Tongkhoun1,0.044,250,acsr,115,115,64.1627,1,1,540.0,211.0,211.0,23.406552960000003,565
NamLeuk,NamNgum1,0.048,310,acsr,115,115,58.0784,1,1,596.0,211.0,211.0,21.187000320000003,624
Thavieng,Thabok,0.021,1700,acsr,230,230,135.503,1,1,1025.0,422.0,422.0,49.4314944,1070
NamLeuk,Thabok,0.172,310,acsr,115,115,16.2719,1,1,2128.0,211.0,211.0,5.9359891199999995,2227
NamMang1,Thabok,0.239,250,acsr,115,115,11.7196,1,1,2954.0,211.0,211.0,4.27531008,3093
NamSan3A,NamSan3B,0.254,250,acsr,115,115,11.0196,2,2,6283.0,422.0,422.0,4.01995008,3289
NamSan3B,Thavieng,0.053,250,acsr,115,115,52.6584,1,1,658.0,211.0,211.0,19.20978432,688
Thabok,Paksan,0.037,310,acsr,115,115,76.7083,1,1,452.0,211.0,211.0,27.98318784,472
EGATBungkan,Paksan,0.255,310,acsr,115,115,11.0,1,1,3147.0,211.0,211.0,4.0128,3295
Paksan,Khonsong,0.034,800,acsr,115,115,90.4735,2,2,766.0,422.0,422.0,33.0047328,400
Khonsong,Thasala,0.045,250,acsr,115,115,62.8065,2,2,1103.0,422.0,422.0,22.911811200000002,577
Thasala,BPompik,0.056,250,acsr,115,115,49.9426,2,1,693.0,211.0,211.0,18.21906048,725
BPompik,NakadokMinning,0.153,250,acsr,115,115,18.3135,2,1,1890.0,211.0,211.0,6.6807648,1979
Khonsong,Thakhek,0.03,800,acsr,115,115,101.373,2,1,342.0,211.0,211.0,36.9808704,357
TheunHinboun,BanVean,0.052,1700,acsr,230,230,54.5354,2,2,5081.0,845.0,845.0,19.89451392,2659
BanVean,EGATNakhouPhanom,0.066,850,acsr,230,230,42.6956,2,2,6489.0,845.0,845.0,15.57535488,3396
BanVean,EGATSakonNakhou,0.045,850,acsr,230,230,62.8195,2,2,4412.0,845.0,845.0,22.9165536,2308
EGATNakhouPhanom,EGATSakonNakhou,0.073,850,acsr,230,230,38.4825,1,1,3599.0,422.0,422.0,14.038416000000002,3768
Thakhek,EGATNakhouPhanom,0.297,800,acsr,115,115,10.3,1,1,3361.0,211.0,211.0,3.7574400000000003,3519
NamTheun2,EGATRoiEt2,0.011,3400,acsr,500,500,221.579,1,1,4674.0,3481.0,3481.0,51.5392754,4850
Thakhek,Mahaxai,0.071,800,acsr,115,115,42.8416,2,2,1617.0,422.0,422.0,15.628615680000001,846
Thakhek,MahaxaiCement,0.131,250,acsr,115,115,21.4208,2,2,3233.0,422.0,422.0,7.814307840000001,1692
Mahaxai,MahaxaiCement,0.131,250,acsr,115,115,21.4208,1,2,3233.0,422.0,422.0,7.814307840000001,1692
Mahaxai,KCLCement,0.174,250,acsr,115,115,16.1146,1,1,2148.0,211.0,211.0,5.87860608,2249
Mahaxai,SeponMinning,0.035,800,acsr,115,115,88.157,1,1,393.0,211.0,211.0,32.1596736,411
Thakhek,Pakbo,0.036,800,acsr,115,115,84.7601,2,2,818.0,422.0,422.0,30.92048448,427
Mitlao,Pakbo,0.119,300,acsr,22,22,25.0,2,2,101.0,81.0,81.0,9.120000000000001,53
EGATMukdahan,Pakbo,0.204,310,acsr,115,115,13.7,2,2,5054.0,422.0,422.0,4.9977599999999995,2646
Pakbo,Nongdeun,0.141,310,acsr,115,115,19.8257,2,2,3493.0,422.0,422.0,7.232415360000001,1828
Nongdeun,BMet,0.044,800,acsr,115,115,69.8144,2,2,993.0,422.0,422.0,25.468293120000002,519
BMet,MPhin,0.037,800,acsr,115,115,83.0556,2,2,835.0,422.0,422.0,30.29868288,436
BanNathone,MPhin,0.021,800,acsr,115,115,144.198,1,1,241.0,211.0,211.0,52.60343040000001,251
Nongdeun,Taothan,0.024,800,acsr,115,115,126.498,2,2,549.0,422.0,422.0,46.146470400000005,286
Taothan,BanNathone,0.035,800,acsr,115,115,88.4008,1,1,392.0,211.0,211.0,32.24861184,410
Nongbong,BanNathone,0.079,800,acsr,115,115,38.8836,1,1,891.0,211.0,211.0,14.18473728,932
Xekaman3,Nongbong,0.032,250,acsr,115,115,88.2287,2,2,786.0,422.0,422.0,32.185829760000004,410
Xekaman3,VietThanhMy,0.057,1700,acsr,230,230,49.213,2,2,5630.0,845.0,845.0,17.9529024,2946
Xenamnoy1,Nongbong,0.087,250,acsr,115,115,32.3256,2,2,2142.0,422.0,422.0,11.792378880000001,1121
Xenamnoy6,Xenamnoy1,0.227,150,acsr,22,22,13.1389,2,2,193.0,81.0,81.0,4.79307072,100
Xekaman1,VietPleiKu,0.05,1700,acsr,230,230,56.7625,1,1,2441.0,422.0,422.0,20.706960000000002,2554
HouayHo,EGATUbon2,0.012,1700,acsr,230,230,230.0,1,1,608.0,422.0,422.0,83.904,630
BanNathone,Xeset1,0.132,800,acsr,115,115,23.1539,1,1,1495.0,211.0,211.0,8.44654272,1565
Xeset1,Xeset2,0.273,800,acsr,115,115,11.1991,1,1,3091.0,211.0,211.0,4.08543168,3237
Xeset2,Xeset3,0.207,250,acsr,115,115,13.5025,2,2,5128.0,422.0,422.0,4.925712,2684
Xeset2,Paksong,0.087,250,acsr,115,115,32.3214,2,2,2143.0,422.0,422.0,11.79084672,1121
Xeset3,Paksong,0.108,250,acsr,115,115,25.8425,1,2,2680.0,422.0,422.0,9.427344000000002,1402
Xeset1,Jiangsai,0.047,250,acsr,115,115,59.6,1,1,581.0,211.0,211.0,21.74208,608
Paksong,Jiangsai,0.15,800,acsr,115,115,20.3679,2,2,3400.0,422.0,422.0,7.43020992,1779
BangYo,Jiangsai,0.333,800,acsr,115,115,9.18073,2,2,7542.0,422.0,422.0,3.3491303040000004,3948
Salabam,BangYo,0.083,300,acsr,22,22,35.9655,1,1,35.0,40.0,35.0,13.1202144,36
EGATSirindhorn,BangYo,0.046,250,acsr,115,115,61.0,1,1,568.0,211.0,211.0,22.2528,594
Jiangsai,BanNa,0.05,800,acsr,115,115,61.5193,1,1,563.0,211.0,211.0,22.44224064,589
BanNa,BanHat,0.053,800,acsr,115,115,57.5484,2,2,1204.0,422.0,422.0,20.99365632,629
Paksong,EGATUbon2,0.032,400,acsr,115,115,88.2,2,2,786.0,422.0,422.0,32.175360000000005,411
BanHat,CambKhampongsalao,0.07,150,acsr,22,22,42.5527,2,2,60.0,81.0,60.0,15.52322496,31
HougAnh,Sapaothong,0.146,250,acsr,115,115,19.2053,2,2,3605.0,422.0,422.0,7.006093440000001,1887
Sapaothong,BanNa,0.028,800,acsr,115,115,109.152,2,2,636.0,422.0,422.0,39.8186496,332
NamNgiep2C,Thavieng,0.141,800,acsr,230,230,20.0,2,2,13849.0,845.0,845.0,7.296,7250
NamNgiep2,Thavieng,0.141,800,acsr,230,230,20.0,2,2,13849.0,845.0,845.0,7.296,7250
HouayLamphan,Nongbong,0.102,800,acsr,115,115,30.0,2,2,2308.0,422.0,422.0,10.944,1208
