name,unit_type,fuel_type,max_capacity,min_capacity,heat_rate,operation_cost,fixed_cost,startup_cost,ramp_rate,min_uptime,min_downtime
LUMUT,gas_cc,gas,1303,521.2,7.633,3.3,1.7,70,1303,1,1
LUMUT_GB3,gas_cc,gas,651,260.4,7.633,3.3,1.7,70,651,1,1
MANJUNG_1_TO_3,coal_st,coal,2100,840,9.948,4.6,2.7,90,2100,10,10
MANJUNG_4_TO_5,coal_st,coal,2000,800,7.861,4.6,2.7,90,2000,10,10
GELUGOR,gas_cc,gas,330,132,7.633,3.3,1.7,70,330,1,1
PRAI,gas_cc,gas,350,140,7.633,3.3,1.7,70,350,1,1
TNB_PRAI,gas_cc,gas,1071,428.4,7.633,3.3,1.7,70,1071,1,1
CONNAUGHT_BRIDGE,gas_cc,gas,832,332.8,7.633,3.3,1.7,70,832,1,1
JIMAH,coal_st,coal,1400,560,9.948,4.6,2.7,90,1400,10,10
JIMAH_EAST,coal_st,coal,2000,800,9.948,4.6,2.7,90,2000,10,10
GSKL,gas_cc,gas,720,288,7.633,3.3,1.7,70,720,1,1
PUTRAJAYA,gas_gt,gas,625,250,7.633,3.3,1.7,70,625,1,1
LADANG,waste_to_energy,waste,25,10,13.648,26,1.2,50,25,6,6
PODI,gas_gt,gas,440,176,11.21,2,1.7,70,440,1,1
PT_PANGLIMA_1,gas_gt,gas,440,176,11.21,2,1.7,70,440,1,1
PAGU,gas_cc,gas,1440,576,7.65,2,1.2,70,1440,1,1
SULTAN_AZIZ_3_TO_4,coal_st,coal,600,240,9.948,4.6,2.7,90,600,10,10
SULTAN_AZIZ_5_TO_6,coal_st,coal,1000,400,9.948,4.6,2.7,90,1000,10,10
TEKNOLOGI_TENAGA,gas_cc,gas,650,260,7.633,3.3,1.7,70,650,1,1
PT_PAHLAHWAN,gas_cc,gas,330,132,7.633,3.3,1.7,70,330,1,1
PT_PANGLIMA_2,gas_cc,gas,720,288,7.633,3.3,1.7,70,720,1,1
TUANKU_JAAFAR_PDI,gas_cc,gas,750,300,7.633,3.3,1.7,70,750,1,1
TYANKU_JAAFAR_PDII,gas_cc,gas,750,300,7.633,3.3,1.7,70,750,1,1
PAKA,gas_cc,gas,808,323.2,7.633,3.3,1.7,70,808,1,1
SULTAN_ISAMIL,gas_cc,gas,1136,454.4,7.633,3.3,1.7,70,1136,1,1
TANJUNG_BIN,coal_st,coal,3244,1297.6,7.861,4.6,2.7,90,3244,10,10
