year,month,day,hour,PD,SASBP,CPS,SASK,SPUPS,SPLPS,TPS,SM
2016,1,3,1,32.39566865,3.669009861,2.063818047,6.115016434,53.56754396,111.4461745,2128.025719,21.3794633
2016,1,3,2,32.39566865,3.669009861,2.063818047,6.115016434,53.56754396,111.4461745,2128.025719,21.3794633
2016,1,3,3,32.39566865,3.669009861,2.063818047,6.115016434,53.56754396,111.4461745,2128.025719,21.3794633
2016,1,3,4,32.39566865,3.669009861,2.063818047,6.115016434,53.56754396,111.4461745,2128.025719,21.3794633
2016,1,3,5,32.39566865,3.669009861,2.063818047,6.115016434,53.56754396,111.4461745,2128.025719,21.3794633
2016,1,3,6,32.39566865,3.669009861,2.063818047,6.115016434,53.56754396,111.4461745,2128.025719,21.3794633
2016,1,3,7,32.39566865,3.669009861,2.063818047,6.115016434,53.56754396,111.4461745,2128.025719,21.3794633
2016,1,3,8,32.39566865,3.669009861,2.063818047,6.115016434,53.56754396,111.4461745,2128.025719,21.3794633
2016,1,3,9,32.39566865,3.669009861,2.063818047,6.115016434,53.56754396,111.4461745,2128.025719,21.3794633
2016,1,3,10,32.39566865,3.669009861,2.063818047,6.115016434,53.56754396,111.4461745,2128.025719,21.3794633
2016,1,3,11,32.39566865,3.669009861,2.063818047,6.115016434,53.56754396,111.4461745,2128.025719,21.3794633
2016,1,3,12,32.39566865,3.669009861,2.063818047,6.115016434,53.56754396,111.4461745,2128.025719,21.3794633
2016,1,3,13,32.39566865,3.669009861,2.063818047,6.115016434,53.56754396,111.4461745,2128.025719,21.3794633
2016,1,3,14,32.39566865,3.669009861,2.063818047,6.115016434,53.56754396,111.4461745,2128.025719,21.3794633
2016,1,3,15,32.39566865,3.669009861,2.063818047,6.115016434,53.56754396,111.4461745,2128.025719,21.3794633
2016,1,3,16,32.39566865,3.669009861,2.063818047,6.115016434,53.56754396,111.4461745,2128.025719,21.3794633
2016,1,3,17,32.39566865,3.669009861,2.063818047,6.115016434,53.56754396,111.4461745,2128.025719,21.3794633
2016,1,3,18,32.39566865,3.669009861,2.063818047,6.115016434,53.56754396,111.4461745,2128.025719,21.3794633
2016,1,3,19,32.39566865,3.669009861,2.063818047,6.115016434,53.56754396,111.4461745,2128.025719,21.3794633
2016,1,3,20,32.39566865,3.669009861,2.063818047,6.115016434,53.56754396,111.4461745,2128.025719,21.3794633
2016,1,3,21,32.39566865,3.669009861,2.063818047,6.115016434,53.56754396,111.4461745,2128.025719,21.3794633
2016,1,3,22,32.39566865,3.669009861,2.063818047,6.115016434,53.56754396,111.4461745,2128.025719,21.3794633
2016,1,3,23,32.39566865,3.669009861,2.063818047,6.115016434,53.56754396,111.4461745,2128.025719,21.3794633
2016,1,3,24,32.39566865,3.669009861,2.063818047,6.115016434,53.56754396,111.4461745,2128.025719,21.3794633
2016,1,4,1,32.39566865,3.669009861,2.063818047,6.115016434,53.56754396,111.4461745,2128.025719,21.3794633
2016,1,4,2,32.39566865,3.669009861,2.063818047,6.115016434,53.56754396,111.4461745,2128.025719,21.3794633
2016,1,4,3,32.39566865,3.669009861,2.063818047,6.115016434,53.56754396,111.4461745,2128.025719,21.3794633
2016,1,4,4,32.39566865,3.669009861,2.063818047,6.115016434,53.56754396,111.4461745,2128.025719,21.3794633
2016,1,4,5,32.39566865,3.669009861,2.063818047,6.115016434,53.56754396,111.4461745,2128.025719,21.3794633
2016,1,4,6,32.39566865,3.669009861,2.063818047,6.115016434,53.56754396,111.4461745,2128.025719,21.3794633
2016,1,4,7,32.39566865,3.669009861,2.063818047,6.115016434,53.56754396,111.4461745,2128.025719,21.3794633
2016,1,4,8,32.39566865,3.669009861,2.063818047,6.115016434,53.56754396,111.4461745,2128.025719,21.3794633
2016,1,4,9,32.39566865,3.669009861,2.063818047,6.115016434,53.56754396,111.4461745,2128.025719,21.3794633
2016,1,4,10,32.39566865,3.669009861,2.063818047,6.115016434,53.56754396,111.4461745,2128.025719,21.3794633
2016,1,4,11,32.39566865,3.669009861,2.063818047,6.115016434,53.56754396,111.4461745,2128.025719,21.3794633
2016,1,4,12,32.39566865,3.669009861,2.063818047,6.115016434,53.56754396,111.4461745,2128.025719,21.3794633
2016,1,4,13,32.39566865,3.669009861,2.063818047,6.115016434,53.56754396,111.4461745,2128.025719,21.3794633
2016,1,4,14,32.39566865,3.669009861,2.063818047,6.115016434,53.56754396,111.4461745,2128.025719,21.3794633
2016,1,4,15,32.39566865,3.669009861,2.063818047,6.115016434,53.56754396,111.4461745,2128.025719,21.3794633
2016,1,4,16,32.39566865,3.669009861,2.063818047,6.115016434,53.56754396,111.4461745,2128.025719,21.3794633
2016,1,4,17,32.39566865,3.669009861,2.063818047,6.115016434,53.56754396,111.4461745,2128.025719,21.3794633
2016,1,4,18,32.39566865,3.669009861,2.063818047,6.115016434,53.56754396,111.4461745,2128.025719,21.3794633
2016,1,4,19,32.39566865,3.669009861,2.063818047,6.115016434,53.56754396,111.4461745,2128.025719,21.3794633
2016,1,4,20,32.39566865,3.669009861,2.063818047,6.115016434,53.56754396,111.4461745,2128.025719,21.3794633
2016,1,4,21,32.39566865,3.669009861,2.063818047,6.115016434,53.56754396,111.4461745,2128.025719,21.3794633
2016,1,4,22,32.39566865,3.669009861,2.063818047,6.115016434,53.56754396,111.4461745,2128.025719,21.3794633
2016,1,4,23,32.39566865,3.669009861,2.063818047,6.115016434,53.56754396,111.4461745,2128.025719,21.3794633
2016,1,4,24,32.39566865,3.669009861,2.063818047,6.115016434,53.56754396,111.4461745,2128.025719,21.3794633
2016,1,5,1,32.39566865,3.669009861,2.063818047,6.115016434,53.56754396,111.4461745,2128.025719,21.3794633
2016,1,5,2,32.39566865,3.669009861,2.063818047,6.115016434,53.56754396,111.4461745,2128.025719,21.3794633
2016,1,5,3,32.39566865,3.669009861,2.063818047,6.115016434,53.56754396,111.4461745,2128.025719,21.3794633
2016,1,5,4,32.39566865,3.669009861,2.063818047,6.115016434,53.56754396,111.4461745,2128.025719,21.3794633
2016,1,5,5,32.39566865,3.669009861,2.063818047,6.115016434,53.56754396,111.4461745,2128.025719,21.3794633
2016,1,5,6,32.39566865,3.669009861,2.063818047,6.115016434,53.56754396,111.4461745,2128.025719,21.3794633
2016,1,5,7,32.39566865,3.669009861,2.063818047,6.115016434,53.56754396,111.4461745,2128.025719,21.3794633
2016,1,5,8,32.39566865,3.669009861,2.063818047,6.115016434,53.56754396,111.4461745,2128.025719,21.3794633
2016,1,5,9,32.39566865,3.669009861,2.063818047,6.115016434,53.56754396,111.4461745,2128.025719,21.3794633
2016,1,5,10,32.39566865,3.669009861,2.063818047,6.115016434,53.56754396,111.4461745,2128.025719,21.3794633
2016,1,5,11,32.39566865,3.669009861,2.063818047,6.115016434,53.56754396,111.4461745,2128.025719,21.3794633
2016,1,5,12,32.39566865,3.669009861,2.063818047,6.115016434,53.56754396,111.4461745,2128.025719,21.3794633
2016,1,5,13,32.39566865,3.669009861,2.063818047,6.115016434,53.56754396,111.4461745,2128.025719,21.3794633
2016,1,5,14,32.39566865,3.669009861,2.063818047,6.115016434,53.56754396,111.4461745,2128.025719,21.3794633
2016,1,5,15,32.39566865,3.669009861,2.063818047,6.115016434,53.56754396,111.4461745,2128.025719,21.3794633
2016,1,5,16,32.39566865,3.669009861,2.063818047,6.115016434,53.56754396,111.4461745,2128.025719,21.3794633
2016,1,5,17,32.39566865,3.669009861,2.063818047,6.115016434,53.56754396,111.4461745,2128.025719,21.3794633
2016,1,5,18,32.39566865,3.669009861,2.063818047,6.115016434,53.56754396,111.4461745,2128.025719,21.3794633
2016,1,5,19,32.39566865,3.669009861,2.063818047,6.115016434,53.56754396,111.4461745,2128.025719,21.3794633
2016,1,5,20,32.39566865,3.669009861,2.063818047,6.115016434,53.56754396,111.4461745,2128.025719,21.3794633
2016,1,5,21,32.39566865,3.669009861,2.063818047,6.115016434,53.56754396,111.4461745,2128.025719,21.3794633
2016,1,5,22,32.39566865,3.669009861,2.063818047,6.115016434,53.56754396,111.4461745,2128.025719,21.3794633
2016,1,5,23,32.39566865,3.669009861,2.063818047,6.115016434,53.56754396,111.4461745,2128.025719,21.3794633
2016,1,5,24,32.39566865,3.669009861,2.063818047,6.115016434,53.56754396,111.4461745,2128.025719,21.3794633
2016,1,6,1,32.39566865,3.669009861,2.063818047,6.115016434,53.56754396,111.4461745,2128.025719,21.3794633
2016,1,6,2,32.39566865,3.669009861,2.063818047,6.115016434,53.56754396,111.4461745,2128.025719,21.3794633
2016,1,6,3,32.39566865,3.669009861,2.063818047,6.115016434,53.56754396,111.4461745,2128.025719,21.3794633
2016,1,6,4,32.39566865,3.669009861,2.063818047,6.115016434,53.56754396,111.4461745,2128.025719,21.3794633
2016,1,6,5,32.39566865,3.669009861,2.063818047,6.115016434,53.56754396,111.4461745,2128.025719,21.3794633
2016,1,6,6,32.39566865,3.669009861,2.063818047,6.115016434,53.56754396,111.4461745,2128.025719,21.3794633
2016,1,6,7,32.39566865,3.669009861,2.063818047,6.115016434,53.56754396,111.4461745,2128.025719,21.3794633
2016,1,6,8,32.39566865,3.669009861,2.063818047,6.115016434,53.56754396,111.4461745,2128.025719,21.3794633
2016,1,6,9,32.39566865,3.669009861,2.063818047,6.115016434,53.56754396,111.4461745,2128.025719,21.3794633
2016,1,6,10,32.39566865,3.669009861,2.063818047,6.115016434,53.56754396,111.4461745,2128.025719,21.3794633
2016,1,6,11,32.39566865,3.669009861,2.063818047,6.115016434,53.56754396,111.4461745,2128.025719,21.3794633
2016,1,6,12,32.39566865,3.669009861,2.063818047,6.115016434,53.56754396,111.4461745,2128.025719,21.3794633
2016,1,6,13,32.39566865,3.669009861,2.063818047,6.115016434,53.56754396,111.4461745,2128.025719,21.3794633
2016,1,6,14,32.39566865,3.669009861,2.063818047,6.115016434,53.56754396,111.4461745,2128.025719,21.3794633
2016,1,6,15,32.39566865,3.669009861,2.063818047,6.115016434,53.56754396,111.4461745,2128.025719,21.3794633
2016,1,6,16,32.39566865,3.669009861,2.063818047,6.115016434,53.56754396,111.4461745,2128.025719,21.3794633
2016,1,6,17,32.39566865,3.669009861,2.063818047,6.115016434,53.56754396,111.4461745,2128.025719,21.3794633
2016,1,6,18,32.39566865,3.669009861,2.063818047,6.115016434,53.56754396,111.4461745,2128.025719,21.3794633
2016,1,6,19,32.39566865,3.669009861,2.063818047,6.115016434,53.56754396,111.4461745,2128.025719,21.3794633
