Chaiyaphum1,NakhonRatchasima2
25.8,40.8
25.8,40.8
25.8,40.8
25.8,40.8
25.8,40.8
25.8,40.8
25.8,40.8
25.8,40.8
25.8,40.8
25.8,40.8
25.8,40.8
25.8,40.8
25.8,40.8
25.8,40.8
25.8,40.8
25.8,40.8
25.8,40.8
25.8,40.8
25.8,40.8
25.8,40.8
25.8,40.8
25.8,40.8
25.8,40.8
25.8,40.8
22.7,43.9
22.7,43.9
22.7,43.9
22.7,43.9
22.7,43.9
22.7,43.9
22.7,43.9
22.7,43.9
22.7,43.9
22.7,43.9
22.7,43.9
22.7,43.9
22.7,43.9
22.7,43.9
22.7,43.9
22.7,43.9
22.7,43.9
22.7,43.9
22.7,43.9
22.7,43.9
22.7,43.9
22.7,43.9
22.7,43.9
22.7,43.9
22.7,31.4
22.7,31.4
22.7,31.4
22.7,31.4
22.7,31.4
22.7,31.4
22.7,31.4
22.7,31.4
22.7,31.4
22.7,31.4
22.7,31.4
22.7,31.4
22.7,31.4
22.7,31.4
22.7,31.4
22.7,31.4
22.7,31.4
22.7,31.4
22.7,31.4
22.7,31.4
22.7,31.4
22.7,31.4
22.7,31.4
22.7,31.4
23.1,30.6
23.1,30.6
23.1,30.6
23.1,30.6
23.1,30.6
23.1,30.6
23.1,30.6
23.1,30.6
23.1,30.6
23.1,30.6
23.1,30.6
23.1,30.6
23.1,30.6
23.1,30.6
23.1,30.6
23.1,30.6
23.1,30.6
23.1,30.6
23.1,30.6
23.1,30.6
23.1,30.6
23.1,30.6
23.1,30.6
23.1,30.6
24.3,28.2
24.3,28.2
24.3,28.2
24.3,28.2
24.3,28.2
24.3,28.2
24.3,28.2
24.3,28.2
24.3,28.2
24.3,28.2
24.3,28.2
24.3,28.2
24.3,28.2
24.3,28.2
24.3,28.2
24.3,28.2
24.3,28.2
24.3,28.2
24.3,28.2
24.3,28.2
24.3,28.2
24.3,28.2
24.3,28.2
24.3,28.2
22.7,40.8
22.7,40.8
22.7,40.8
22.7,40.8
22.7,40.8
22.7,40.8
22.7,40.8
22.7,40.8
22.7,40.8
22.7,40.8
22.7,40.8
22.7,40.8
22.7,40.8
22.7,40.8
22.7,40.8
22.7,40.8
22.7,40.8
22.7,40.8
22.7,40.8
22.7,40.8
22.7,40.8
22.7,40.8
22.7,40.8
22.7,40.8
19.6,45.5
19.6,45.5
19.6,45.5
19.6,45.5
19.6,45.5
19.6,45.5
19.6,45.5
19.6,45.5
19.6,45.5
19.6,45.5
19.6,45.5
19.6,45.5
19.6,45.5
19.6,45.5
19.6,45.5
19.6,45.5
19.6,45.5
19.6,45.5
19.6,45.5
19.6,45.5
19.6,45.5
19.6,45.5
19.6,45.5
19.6,45.5
16.8,38.4
16.8,38.4
16.8,38.4
16.8,38.4
16.8,38.4
16.8,38.4
16.8,38.4
16.8,38.4
16.8,38.4
16.8,38.4
16.8,38.4
16.8,38.4
16.8,38.4
16.8,38.4
16.8,38.4
16.8,38.4
16.8,38.4
16.8,38.4
16.8,38.4
16.8,38.4
16.8,38.4
16.8,38.4
16.8,38.4
16.8,38.4
17.4,42.4
17.4,42.4
17.4,42.4
17.4,42.4
17.4,42.4
17.4,42.4
17.4,42.4
17.4,42.4
17.4,42.4
17.4,42.4
17.4,42.4
17.4,42.4
17.4,42.4
17.4,42.4
17.4,42.4
17.4,42.4
17.4,42.4
17.4,42.4
17.4,42.4
17.4,42.4
17.4,42.4
17.4,42.4
17.4,42.4
17.4,42.4
11.7,40.8
11.7,40.8
11.7,40.8
11.7,40.8
11.7,40.8
11.7,40.8
11.7,40.8
11.7,40.8
11.7,40.8
11.7,40.8
11.7,40.8
11.7,40.8
11.7,40.8
11.7,40.8
11.7,40.8
11.7,40.8
11.7,40.8
11.7,40.8
11.7,40.8
11.7,40.8
11.7,40.8
11.7,40.8
11.7,40.8
11.7,40.8
22.1,45.5
22.1,45.5
22.1,45.5
22.1,45.5
22.1,45.5
22.1,45.5
22.1,45.5
22.1,45.5
22.1,45.5
22.1,45.5
22.1,45.5
22.1,45.5
22.1,45.5
22.1,45.5
22.1,45.5
22.1,45.5
22.1,45.5
22.1,45.5
22.1,45.5
22.1,45.5
22.1,45.5
22.1,45.5
22.1,45.5
22.1,45.5
23.7,42.4
23.7,42.4
23.7,42.4
23.7,42.4
23.7,42.4
23.7,42.4
23.7,42.4
23.7,42.4
23.7,42.4
23.7,42.4
23.7,42.4
23.7,42.4
23.7,42.4
23.7,42.4
23.7,42.4
23.7,42.4
23.7,42.4
23.7,42.4
23.7,42.4
23.7,42.4
23.7,42.4
23.7,42.4
23.7,42.4
23.7,42.4
16.2,47.9
16.2,47.9
16.2,47.9
16.2,47.9
16.2,47.9
16.2,47.9
16.2,47.9
16.2,47.9
16.2,47.9
16.2,47.9
16.2,47.9
16.2,47.9
16.2,47.9
16.2,47.9
16.2,47.9
16.2,47.9
16.2,47.9
16.2,47.9
16.2,47.9
16.2,47.9
16.2,47.9
16.2,47.9
16.2,47.9
16.2,47.9
14,36.1
14,36.1
14,36.1
14,36.1
14,36.1
14,36.1
14,36.1
14,36.1
14,36.1
14,36.1
14,36.1
14,36.1
14,36.1
14,36.1
14,36.1
14,36.1
14,36.1
14,36.1
14,36.1
14,36.1
14,36.1
