,name,unit_type,fuel_type
236,NongKhaem1,gas_ic,gas
237,TorayNylonIc5,oil_ic,oil
238,SLACK_BangkokNoi,slack,slack
239,Bangpakongu1,gas_cc,gas
240,Bangpakongu2,gas_cc,gas
241,Bangpakongu3,gas_st,gas
242,Bangpakongu4,gas_st,gas
243,BangPakongCc1Sc1,wsth_st,wsth
244,Bowinpowercc1,gas_gt,gas
245,Bowinpowercc2,gas_gt,gas
246,BanBueng1,biomass_st,biomass
247,AmataNakorn2BSc1,wsth_st,wsth
248,Bpwha1Sc1,wsth_st,wsth
249,SabcoBiomass1,biomass_st,biomass
250,KaengKhoiFactory,coal_st,coal
251,Gulfjpns,gas_cc,gas
252,Gulfjput,gas_cc,gas
253,Kaengkhoi2U1,gas_gt,gas
254,Kaengkhoi2U2,gas_gt,gas
255,VajiralongkornIc,oil_ic,oil
256,WangSalaMill1,coal_st,coal
257,WangSalaMill2,coal_st,coal
258,Khanomcc,gas_cc,gas
259,Khanom,gas_gt,gas
260,Krabi,gas_st,gas
261,LampangCementPlant1,wsth_st,wsth
262,Lankrabue,oil_gt,oil
263,Maehongson,oil_st,oil
264,ChiangMaiWte1,gas_ic,gas
265,Chiangmaifangu1,oil_ic,oil
266,Nakhonpathom,biomass_st,biomass
267,AmpharSampran1,coal_st,coal
268,KampaengsaenWestIc1,gas_ic,gas
269,AmpharSampranIc1,oil_ic,oil
270,KoratGt1,oil_gt,oil
271,CrbChangRaek1,biomass_st,biomass
272,ThungSongCement1,wsth_st,wsth
273,Maptaphutu1,gas_gt,gas
274,Maptaphutu2,gas_gt,gas
275,NongChokGt3,gas_gt,gas
276,SLACK_NongChok_230,slack,slack
277,Northbangkok,gas_cc,gas
278,PhetchaburiPalmOil1,gas_ic,gas
279,PhuketNew1,gas_ic,gas
280,PrachinBuriMillGt5,gas_gt,gas
281,PrachinBuriMill4,gas_ic,gas
282,PrachuapSugarMill1,biomass_st,biomass
283,Pttolefinsu1,oil_gt,oil
284,RangsitFactoryIc3,oil_ic,oil
285,SLACK_Rangsit,slack,slack
286,PathumThaniCrnSc1,wsth_st,wsth
287,RajburiSugarMill1,biomass_st,biomass
288,BanPongSki1,coal_st,coal
289,Ratchaburipoweru1,gas_cc,gas
290,Ratchaburipoweru2,gas_cc,gas
291,Ratchaburiccu1,gas_cc,gas
292,Ratchaburiccu2,gas_cc,gas
293,Ratchaburiu3,gas_gt,gas
294,Ratchaburiu1,gas_st,gas
295,Ratchaburiu2,gas_st,gas
296,RatchaburiPower1Sc1,wsth_st,wsth
297,Ratcharburitrienergy,gas_gt,gas
298,PatumRiceMill1,biomass_st,biomass
299,GlowSppPhase4No1,coal_st,coal
300,Ghecoone,coal_st,coal
301,Rayongu2,gas_cc,gas
302,Rayongu3,gas_cc,gas
303,MuangCogen1No1,coal_st,coal
304,GlowSppPhase4No3,coal_st,coal
305,Blcp1,coal_st,coal
306,Blcp2,coal_st,coal
307,RayongSipcoSc1,wsth_st,wsth
308,EasternSugar3,biomass_st,biomass
309,MgpMahachaiGreen1,biomass_st,biomass
310,NongSaeng1Gt1,gas_gt,gas
311,TpiPower1,gas_ic,gas
312,NongSaeng1Gt2,gas_gt,gas
313,GreEnergy1,biomass_st,biomass
314,Chanau1,gas_cc,gas
315,Chanau2,gas_cc,gas
316,HatYaiGidec1,gas_ic,gas
317,Chana1Sc1,wsth_st,wsth
318,MitrKasetrSugar1,biomass_st,biomass
319,Southbangkoku1,gas_cc,gas
320,Southbangkoku2,gas_cc,gas
321,Southbangkoku3,gas_st,gas
322,SouthBangkok1,oil_st,oil
323,SouthBangkokCc3Sc1,wsth_st,wsth
324,Sriracharefineryu1,oil_ic,oil
325,SrirachaRefineryTocS4,oil_st,oil
326,MitrBiopowerDanChang2,biomass_st,biomass
327,AmphurBiomass1,biomass_st,biomass
328,UdonThaniGt2,oil_gt,oil
329,Wangnoiu1,gas_cc,gas
330,Wangnoiu2,gas_cc,gas
331,Wangnoiu3,gas_cc,gas
332,Wangnoiu4,gas_cc,gas
333,NorthBangkok2Sc1,wsth_st,wsth
334,304Ipnppa9U1,biomass_st,biomass
335,304Ipnppa9U2,biomass_st,biomass
336,Hongsaligniteu1,coal_imp,coal
337,Hongsaligniteu2,coal_imp,coal
338,Hongsaligniteu3,coal_imp,coal
