source,sink,source_kv,sink_kv,stability_limit,thermal_limit,line_capacity,max_kv,reactance_per_km,reactance_pu,susceptance
MaeMoh3,Nan1,500,500,19405,6962,6962,500,0.2326,24.6556,10139
MaeMoh3,Phayao,115,115,642,422,422,115,0.3648,39.3984,335
MaeMoh3,ThaTako,500,500,6933,6962,6933,500,0.2326,70.0126,3570
MaeMoh4,Lamphun2,230,230,1686,844,844,230,0.3648,60.192,878
MahaSarakham,RoiEt,115,115,888,422,422,115,0.3648,28.4544,464
Manorom,ChaiNat,115,115,1018,211,211,115,0.3648,12.4032,1066
Manorom,NakhonSawan,115,115,1473,422,422,115,0.3648,17.1456,771
Manorom,Takhli2,115,115,706,211,211,115,0.3648,17.8752,739
MitrBiopower,Loei,115,115,752,211,211,115,0.3648,16.7808,788
Mukdahan,AmnatCharoen,115,115,468,211,211,115,0.3648,26.9952,489
Mukdahan,Pakbo,115,115,2527,211,211,115,0.3648,4.9977599999999995,2646
Nabong,UdonThani3,500,500,21198,6962,6962,500,0.2326,22.5622,11080
NakhonChaisi,SamPhran2,230,230,21304,844,844,230,0.3648,4.7424,11154
NakhonPathom,NakhonChaisi,230,230,21304,844,844,230,0.3648,4.7424,11154
NakhonPhanom2,SakonNakhon2,230,230,8656,844,844,230,0.3648,11.6736,4531
NakhonPhanom,NakhonPhanom2,230,230,10653,844,844,230,0.3648,9.4848,5577
NakhonPhanom,SakonNakhon,230,230,3597,422,422,230,0.3648,14.0448,3766
NakhonPhanom,ThatPhanom,115,115,1978,422,422,115,0.3648,12.768,1035
NakhonRatchasima1,BuriRam,115,115,389,211,211,115,0.3648,32.4672,407
NakhonRatchasima1,Khong,115,115,587,211,211,115,0.3648,21.5232,614
NakhonRatchasima1,Phon,115,115,407,211,211,115,0.3648,31.008000000000003,426
NakhonRatchasima2,BuriRam,115,115,787,422,422,115,0.3648,32.1024,411
NakhonRatchasima2,Chaiyaphum1,230,230,3187,844,844,230,0.3648,31.7376,1666
NakhonRatchasima2,Khong,115,115,474,211,211,115,0.3648,26.6304,496
NakhonRatchasima2,NakhonRatchasima1,115,115,2473,422,422,115,0.3648,10.214400000000001,1294
NakhonRatchasima2,PakChong,115,115,422,211,211,115,0.3648,29.913600000000002,442
NakhonRatchasima2,SiKhiu,115,115,641,211,211,115,0.3648,19.6992,671
NakhonSawan,ThaTako,230,230,5432,844,844,230,0.3648,18.6048,2843
NakhonSiThammarat,Phatthalung,230,230,3048,844,844,230,0.3648,33.1968,1593
NakhonSiThammarat,Ranot,115,115,715,422,422,115,0.3648,35.385600000000004,373
NamLeuk,Paksan,115,115,502,211,211,115,0.3648,25.171200000000002,525
NamMang3,Nabong,115,115,1486,422,422,115,0.3648,16.99968,777
NamNgum1,NamLeuk,115,115,474,211,211,115,0.3648,26.6304,496
NamNgum1,Nasaithong,115,115,1230,422,422,115,0.3648,20.53824,643
NamNgum1,Thalath,115,115,3497,422,422,115,0.3648,7.22304,1830
NamNgum2,Nabong,230,230,4861,844,844,230,0.3648,20.7936,2544
NamPhong2,KhonKaen3,230,230,5131,844,844,230,0.3648,19.6992,2685
NamPhong2,NamPhong1,115,115,4327,422,422,115,0.3648,5.8368,2265
NamTheun2,RoiEt2,500,500,9346,6962,6962,500,0.2326,51.54416,4850
Nan1,Phrae,115,115,304,211,211,115,0.3648,41.5872,318
Narathiwat,SungaiKolok,115,115,653,211,211,115,0.3648,19.334400000000002,684
Nasaithong,Paktang,115,115,2683,211,211,115,0.3648,4.70592,2810
Nasaithong,Phontong,115,115,5644,633,633,115,0.3648,6.71232,1970
