year,month,day,hour,NamNgum1,NamLeuk,NamMang3,NamNgum2,TheunHinboun,NamTheun2,HouayHo,Xeset1,Xeset2
,,,,NamNgum1,NamLeuk,NamMang3,NamNgum2,TheunHinboun,NamTheun2,HouayHo,Xeset1,Xeset2
2016,1,1,1,146.85,59.94,14.97,350.944,162.6,1063.89,0,23.02,4.21
2016,1,1,2,146.85,59.94,14.97,350.944,162.6,1063.89,0,23.02,4.21
2016,1,1,3,146.85,59.94,14.97,350.944,162.6,1063.89,0,23.02,4.21
2016,1,1,4,146.85,59.94,14.97,350.944,162.6,1063.89,0,23.02,4.21
2016,1,1,5,146.85,59.94,14.97,350.944,162.6,1063.89,0,23.02,4.21
2016,1,1,6,146.85,59.94,14.97,350.944,162.6,1063.89,0,23.02,4.21
2016,1,1,7,146.85,59.94,14.97,350.944,162.6,1063.89,0,23.02,4.21
2016,1,1,8,146.85,59.94,14.97,350.944,162.6,1063.89,0,23.02,4.21
2016,1,1,9,146.85,59.94,14.97,350.944,162.6,1063.89,0,23.02,4.21
2016,1,1,10,146.85,59.94,14.97,350.944,162.6,1063.89,0,23.02,4.21
2016,1,1,11,146.85,59.94,14.97,350.944,162.6,1063.89,0,23.02,4.21
2016,1,1,12,146.85,59.94,14.97,350.944,162.6,1063.89,0,23.02,4.21
2016,1,1,13,146.85,59.94,14.97,350.944,162.6,1063.89,0,23.02,4.21
2016,1,1,14,146.85,59.94,14.97,350.944,162.6,1063.89,0,23.02,4.21
2016,1,1,15,146.85,59.94,14.97,350.944,162.6,1063.89,0,23.02,4.21
2016,1,1,16,146.85,59.94,14.97,350.944,162.6,1063.89,0,23.02,4.21
2016,1,1,17,146.85,59.94,14.97,350.944,162.6,1063.89,0,23.02,4.21
2016,1,1,18,146.85,59.94,14.97,350.944,162.6,1063.89,0,23.02,4.21
2016,1,1,19,146.85,59.94,14.97,350.944,162.6,1063.89,0,23.02,4.21
2016,1,1,20,146.85,59.94,14.97,350.944,162.6,1063.89,0,23.02,4.21
2016,1,1,21,146.85,59.94,14.97,350.944,162.6,1063.89,0,23.02,4.21
2016,1,1,22,146.85,59.94,14.97,350.944,162.6,1063.89,0,23.02,4.21
2016,1,1,23,146.85,59.94,14.97,350.944,162.6,1063.89,0,23.02,4.21
2016,1,1,24,146.85,59.94,14.97,350.944,162.6,1063.89,0,23.02,4.21
2016,1,2,1,144.43,59.9,14.86,349.68,153.38,1063.28,0,22.5,4.13
2016,1,2,2,144.43,59.9,14.86,349.68,153.38,1063.28,0,22.5,4.13
2016,1,2,3,144.43,59.9,14.86,349.68,153.38,1063.28,0,22.5,4.13
2016,1,2,4,144.43,59.9,14.86,349.68,153.38,1063.28,0,22.5,4.13
2016,1,2,5,144.43,59.9,14.86,349.68,153.38,1063.28,0,22.5,4.13
2016,1,2,6,144.43,59.9,14.86,349.68,153.38,1063.28,0,22.5,4.13
2016,1,2,7,144.43,59.9,14.86,349.68,153.38,1063.28,0,22.5,4.13
2016,1,2,8,144.43,59.9,14.86,349.68,153.38,1063.28,0,22.5,4.13
2016,1,2,9,144.43,59.9,14.86,349.68,153.38,1063.28,0,22.5,4.13
2016,1,2,10,144.43,59.9,14.86,349.68,153.38,1063.28,0,22.5,4.13
2016,1,2,11,144.43,59.9,14.86,349.68,153.38,1063.28,0,22.5,4.13
2016,1,2,12,144.43,59.9,14.86,349.68,153.38,1063.28,0,22.5,4.13
2016,1,2,13,144.43,59.9,14.86,349.68,153.38,1063.28,0,22.5,4.13
2016,1,2,14,144.43,59.9,14.86,349.68,153.38,1063.28,0,22.5,4.13
2016,1,2,15,144.43,59.9,14.86,349.68,153.38,1063.28,0,22.5,4.13
2016,1,2,16,144.43,59.9,14.86,349.68,153.38,1063.28,0,22.5,4.13
2016,1,2,17,144.43,59.9,14.86,349.68,153.38,1063.28,0,22.5,4.13
2016,1,2,18,144.43,59.9,14.86,349.68,153.38,1063.28,0,22.5,4.13
2016,1,2,19,144.43,59.9,14.86,349.68,153.38,1063.28,0,22.5,4.13
2016,1,2,20,144.43,59.9,14.86,349.68,153.38,1063.28,0,22.5,4.13
2016,1,2,21,144.43,59.9,14.86,349.68,153.38,1063.28,0,22.5,4.13
2016,1,2,22,144.43,59.9,14.86,349.68,153.38,1063.28,0,22.5,4.13
2016,1,2,23,144.43,59.9,14.86,349.68,153.38,1063.28,0,22.5,4.13
2016,1,2,24,144.43,59.9,14.86,349.68,153.38,1063.28,0,22.5,4.13
2016,1,3,1,164.5,59.89,14.74,398.632,144.77,1062.66,0,21.95,4.05
2016,1,3,2,164.5,59.89,14.74,398.632,144.77,1062.66,0,21.95,4.05
2016,1,3,3,164.5,59.89,14.74,398.632,144.77,1062.66,0,21.95,4.05
2016,1,3,4,164.5,59.89,14.74,398.632,144.77,1062.66,0,21.95,4.05
2016,1,3,5,164.5,59.89,14.74,398.632,144.77,1062.66,0,21.95,4.05
2016,1,3,6,164.5,59.89,14.74,398.632,144.77,1062.66,0,21.95,4.05
2016,1,3,7,164.5,59.89,14.74,398.632,144.77,1062.66,0,21.95,4.05
2016,1,3,8,164.5,59.89,14.74,398.632,144.77,1062.66,0,21.95,4.05
2016,1,3,9,164.5,59.89,14.74,398.632,144.77,1062.66,0,21.95,4.05
2016,1,3,10,164.5,59.89,14.74,398.632,144.77,1062.66,0,21.95,4.05
2016,1,3,11,164.5,59.89,14.74,398.632,144.77,1062.66,0,21.95,4.05
2016,1,3,12,164.5,59.89,14.74,398.632,144.77,1062.66,0,21.95,4.05
2016,1,3,13,164.5,59.89,14.74,398.632,144.77,1062.66,0,21.95,4.05
2016,1,3,14,164.5,59.89,14.74,398.632,144.77,1062.66,0,21.95,4.05
2016,1,3,15,164.5,59.89,14.74,398.632,144.77,1062.66,0,21.95,4.05
2016,1,3,16,164.5,59.89,14.74,398.632,144.77,1062.66,0,21.95,4.05
2016,1,3,17,164.5,59.89,14.74,398.632,144.77,1062.66,0,21.95,4.05
2016,1,3,18,164.5,59.89,14.74,398.632,144.77,1062.66,0,21.95,4.05
2016,1,3,19,164.5,59.89,14.74,398.632,144.77,1062.66,0,21.95,4.05
2016,1,3,20,164.5,59.89,14.74,398.632,144.77,1062.66,0,21.95,4.05
2016,1,3,21,164.5,59.89,14.74,398.632,144.77,1062.66,0,21.95,4.05
2016,1,3,22,164.5,59.89,14.74,398.632,144.77,1062.66,0,21.95,4.05
2016,1,3,23,164.5,59.89,14.74,398.632,144.77,1062.66,0,21.95,4.05
2016,1,3,24,164.5,59.89,14.74,398.632,144.77,1062.66,0,21.95,4.05
2016,1,4,1,192.66,59.95,14.63,438.408,136.72,1062.02,0,21.37,3.97
2016,1,4,2,192.66,59.95,14.63,438.408,136.72,1062.02,0,21.37,3.97
2016,1,4,3,192.66,59.95,14.63,438.408,136.72,1062.02,0,21.37,3.97
2016,1,4,4,192.66,59.95,14.63,438.408,136.72,1062.02,0,21.37,3.97
2016,1,4,5,192.66,59.95,14.63,438.408,136.72,1062.02,0,21.37,3.97
2016,1,4,6,192.66,59.95,14.63,438.408,136.72,1062.02,0,21.37,3.97
2016,1,4,7,192.66,59.95,14.63,438.408,136.72,1062.02,0,21.37,3.97
2016,1,4,8,192.66,59.95,14.63,438.408,136.72,1062.02,0,21.37,3.97
2016,1,4,9,192.66,59.95,14.63,438.408,136.72,1062.02,0,21.37,3.97
2016,1,4,10,192.66,59.95,14.63,438.408,136.72,1062.02,0,21.37,3.97
2016,1,4,11,192.66,59.95,14.63,438.408,136.72,1062.02,0,21.37,3.97
2016,1,4,12,192.66,59.95,14.63,438.408,136.72,1062.02,0,21.37,3.97
