source,sink,source_kv,sink_kv,stability_limit,thermal_limit,line_capacity,max_kv,reactance_per_km,reactance_pu,susceptance
NamOu6,Bountari,230,230,4487,844,844,230,0.3648,22.52833344,2348
NamOu5,Bountari,230,230,11507,844,844,230,0.3648,8.7809184,6024
Bountari,NaMo2,230,230,3348,844,844,230,0.3648,30.205804800000003,1751
NaMo2,NaMoSwitch,115,115,9312,211,211,115,0.3648,1.356111168,9752
NaMoSwitch,LuangNamtha1,115,115,1176,211,211,115,0.3648,10.737888,1231
NaMo2,Pakmong2,230,230,3118,844,844,230,0.3648,32.44593216,1630
NaMo2,Oudomsay,115,115,1910,422,422,115,0.3648,13.2271008,999
Oudomsay,Pakmong2,115,115,694,211,211,115,0.3648,18.188016,727
Oudomsay,SeinSouk,115,115,315,211,211,115,0.3648,40.0710912,330
NamOu2,Pakmong2,230,230,4214,422,422,230,0.3648,11.987911680000002,4412
Pakmong2,Luangprabang2,230,230,3053,844,844,230,0.3648,33.13850496,1596
Pakmong2,Luangprabang1,115,115,616,211,211,115,0.3648,20.50176,645
SeinSouk,Luangprabang1,115,115,2435,211,211,115,0.3648,5.18628864,2549
Luangprabang2,Luangprabang1,115,115,1540,211,211,115,0.3648,8.20136064,1612
NamKhan3,Luangprabang2,115,115,1340,211,211,115,0.3648,9.41917248,1404
NamKhan2,Luangprabang2,115,115,1376,422,422,115,0.3648,18.35914368,720
Viengkeo,Luangprabang2,115,115,860,422,422,115,0.3648,29.373148800000003,450
HongsaLigniteU1,Viengkeo,115,115,7288,422,422,115,0.3648,3.4656000000000002,3816
HongsaLigniteU2,Viengkeo,115,115,7288,422,422,115,0.3648,3.4656000000000002,3816
HongsaLigniteU3,Viengkeo,115,115,3644,211,211,115,0.3648,3.4656000000000002,3816
HongsaLigniteU1,EGATMaeMoh,500,500,6826,3481,3481,500,0.2326,35.119111000000004,7118
HongsaLigniteU2,EGATMaeMoh,500,500,6826,3481,3481,500,0.2326,35.119111000000004,7118
HongsaLigniteU3,EGATMaeMoh,500,500,6826,3481,3481,500,0.2326,35.119111000000004,7118
Luangprabang2,XiengNgum,115,115,5598,211,211,115,0.3648,2.2557845760000004,5862
XiengNgum,Kasi,115,115,1318,422,422,115,0.3648,19.16662848,690
XiengNgum,Xayabury,115,115,508,211,211,115,0.3648,24.879360000000002,531
NamSana,Kasi,22,22,277,80,80,22,0.3648,3.329142912,145
Kasi,Viengvieng,115,115,1443,422,422,115,0.3648,17.5104,755
NamNgum5,Viengvieng,115,115,711,211,211,115,0.3648,17.75711424,744
Viengvieng,HouycaiMining,115,115,2533,211,211,115,0.3648,4.9853568,2652
Viengvieng,Hinheup,115,115,964,211,211,115,0.3648,13.1003328,1009
Luangprabang2,Hinheup,230,230,992,422,422,230,0.3648,51.0566784,1036
BanDon,Hinheup,115,115,1285,211,211,115,0.3648,9.8269824,1345
NamLik1n2,Hinheup,115,115,945,211,211,115,0.3648,13.363171200000002,989
NamLik1n2,BanDon,115,115,2770,211,211,115,0.3648,4.5583584,2901
BanDon,NonHai,115,115,3406,422,422,115,0.3648,7.4143411200000005,1783
NonHai,Paklay,115,115,1077,422,422,115,0.3648,23.462513280000003,563
Viengvieng,Thalath,115,115,1499,422,422,115,0.3648,16.85376,784
Hinheup,Thalath,115,115,1084,211,211,115,0.3648,11.64317568,1135
NamNgum1,Thalath,115,115,1750,211,211,115,0.3648,7.215744000000001,1832
NamNgum1,Nasaithong,115,115,614,211,211,115,0.3648,20.54757888,643
Hinheup,Nasaithong,230,230,1974,422,422,230,0.3648,25.608558719999998,2065
Thalath,PhoneSoung,115,115,2005,211,211,115,0.3648,6.2975788800000005,2100
PhoneSoung,Nasaithong,115,115,1293,211,211,115,0.3648,9.76555008,1354
Nasaithong,ThaNgon,115,115,6085,633,633,115,0.3648,6.226078080000001,2124
Nasaithong,Veingkam,115,115,1277,211,211,115,0.3648,9.888816,1337
Nasaithong,Paktang,115,115,2678,211,211,115,0.3648,4.71551424,2804
Paktang,Phontong,115,115,2574,211,211,115,0.3648,4.9049184,2696
Nasaithong,Phontong,115,115,1883,211,211,115,0.3648,6.706264320000001,1972
Veingkam,Khoksaad,115,115,2131,211,211,115,0.3648,5.92515456,2232
Khoksaad,Thanaleng,115,115,3835,422,422,115,0.3648,6.58602624,2008
Phontong,Donkoi,115,115,4834,422,422,115,0.3648,5.22499392,2531
Donkoi,Thanaleng,115,115,4094,422,422,115,0.3648,6.1696800000000005,2143
Thanaleng,EGATNongKhai,115,115,6352,422,422,115,0.3648,3.9763200000000003,3325
Phontong,EGATNongKhai,115,115,2694,422,422,115,0.3648,9.37536,1410
NamMang3,NabongWest,115,115,742,211,211,115,0.3648,17.011098240000003,777
NabongWest,Khoksaad,115,115,758,211,211,115,0.3648,16.65735168,793
NamNgum2,Nabong,230,230,1908,422,422,230,0.3648,26.49721152,1996
Nabong,EGATUdon3,500,500,19016,3481,3481,500,0.2326,12.5604,19903
Phonsavan,Xamneual,115,115,209,211,209,115,0.3648,60.713664,217
NamNgum5,Phonsavan,115,115,398,211,211,115,0.3648,31.773751680000004,416
Phonsavan,Nahor,115,115,1080,211,211,115,0.3648,11.686112640000001,1131
NamNgiep3A,Nahor,115,115,1895,211,211,115,0.3648,6.66223296,1985
Nahor,Tongkhoun2,115,115,814,211,211,115,0.3648,15.517752960000001,852
Tongkhoun2,Tongkhoun1,115,115,3851,422,422,115,0.3648,6.55771776,2016
Tongkhoun1,PhubiaMinning,115,115,2555,211,211,115,0.3648,4.94241984,2675
NamLeuk,Tongkhoun1,115,115,539,211,211,115,0.3648,23.406552960000003,565
NamLeuk,NamNgum1,115,115,596,211,211,115,0.3648,21.187000320000003,624
Thavieng,Thabok,230,230,1025,422,422,230,0.3648,49.4314944,1070
NamLeuk,Thabok,115,115,2127,211,211,115,0.3648,5.9359891199999995,2227
NamMang1,Thabok,115,115,2953,211,211,115,0.3648,4.27531008,3093
NamSan3A,NamSan3B,115,115,6283,422,422,115,0.3648,4.01995008,3289
NamSan3B,Thavieng,115,115,657,211,211,115,0.3648,19.20978432,688
Thabok,Paksan,115,115,451,211,211,115,0.3648,27.98318784,472
Paksan,Khonsong,115,115,766,422,422,115,0.3648,33.0047328,400
Khonsong,Thasala,115,115,1103,422,422,115,0.3648,22.911811200000002,577
Thasala,BPompik,115,115,693,211,211,115,0.3648,18.21906048,725
BPompik,NakadokMinning,115,115,1890,211,211,115,0.3648,6.6807648,1979
Khonsong,Thakhek,115,115,342,211,211,115,0.3648,36.9808704,357
TheunHinboun,BanVean,230,230,5081,844,844,230,0.3648,19.89451392,2659
BanVean,EGATNakhouPhanom,230,230,6488,844,844,230,0.3648,15.57535488,3396
BanVean,EGATSakonNakhou,230,230,4411,844,844,230,0.3648,22.9165536,2308
EGATNakhouPhanom,EGATSakonNakhou,230,230,3599,422,422,230,0.3648,14.038416000000002,3768
Thakhek,EGATNakhouPhanom,115,115,3361,211,211,115,0.3648,3.7574400000000003,3519
NamTheun2,EGATRoiEt2,500,500,4673,3481,3481,500,0.2326,51.5392754,4850
Thakhek,Mahaxai,115,115,1616,422,422,115,0.3648,15.628615680000001,846
Thakhek,MahaxaiCement,115,115,3232,422,422,115,0.3648,7.814307840000001,1692
Mahaxai,MahaxaiCement,115,115,3232,422,422,115,0.3648,7.814307840000001,1692
Mahaxai,KCLCement,115,115,2148,211,211,115,0.3648,5.87860608,2249
Mahaxai,SeponMinning,115,115,393,211,211,115,0.3648,32.1596736,411
Thakhek,Pakbo,115,115,817,422,422,115,0.3648,30.92048448,427
Mitlao,Pakbo,22,22,101,80,80,22,0.3648,9.120000000000001,53
Pakbo,Nongdeun,115,115,3492,422,422,115,0.3648,7.232415360000001,1828
Nongdeun,BMet,115,115,992,422,422,115,0.3648,25.468293120000002,519
BMet,MPhin,115,115,834,422,422,115,0.3648,30.29868288,436
BanNathone,MPhin,115,115,240,211,211,115,0.3648,52.60343040000001,251
Nongdeun,Taothan,115,115,548,422,422,115,0.3648,46.146470400000005,286
Taothan,BanNathone,115,115,392,211,211,115,0.3648,32.24861184,410
Nongbong,BanNathone,115,115,890,211,211,115,0.3648,14.18473728,932
Xekaman3,Nongbong,115,115,785,422,422,115,0.3648,32.185829760000004,410
Xekaman3,VietThanhMy,230,230,5630,844,844,230,0.3648,17.9529024,2946
Xenamnoy1,Nongbong,115,115,2142,422,422,115,0.3648,11.792378880000001,1121
Xenamnoy6,Xenamnoy1,22,22,192,80,80,22,0.3648,4.79307072,100
Xekaman1,VietPleiKu,230,230,2440,422,422,230,0.3648,20.706960000000002,2554
HouayHo,EGATUbon2,230,230,607,422,422,230,0.3648,83.904,630
BanNathone,Xeset1,115,115,1495,211,211,115,0.3648,8.44654272,1565
Xeset1,Xeset2,115,115,3091,211,211,115,0.3648,4.08543168,3237
Xeset2,Xeset3,115,115,5127,422,422,115,0.3648,4.925712,2684
Xeset2,Paksong,115,115,2142,422,422,115,0.3648,11.79084672,1121
Xeset3,Paksong,115,115,2679,422,422,115,0.3648,9.427344000000002,1402
Xeset1,Jiangsai,115,115,581,211,211,115,0.3648,21.74208,608
Paksong,Jiangsai,115,115,3399,422,422,115,0.3648,7.43020992,1779
BangYo,Jiangsai,115,115,7541,422,422,115,0.3648,3.3491303040000004,3948
Salabam,BangYo,22,22,35,40,35,22,0.3648,13.1202144,36
Jiangsai,BanNa,115,115,563,211,211,115,0.3648,22.44224064,589
BanNa,BanHat,115,115,1203,422,422,115,0.3648,20.99365632,629
Paksong,EGATUbon2,115,115,786,422,422,115,0.3648,32.175360000000005,411
BanHat,CambKhampongsalao,22,22,59,80,59,22,0.3648,15.52322496,31
HougAnh,Sapaothong,115,115,3605,422,422,115,0.3648,7.006093440000001,1887
Sapaothong,BanNa,115,115,635,422,422,115,0.3648,39.8186496,332
NamNgiep2C,Thavieng,230,230,13848,844,844,230,0.3648,7.296,7250
NamNgiep2,Thavieng,230,230,13848,844,844,230,0.3648,7.296,7250
HouayLamphan,Nongbong,115,115,2308,422,422,115,0.3648,10.944,1208
