name,unit_type,fuel_type,max_capacity,min_capacity,heat_rate,operation_cost,fixed_cost,startup_cost,ramp_rate,min_uptime,min_downtime
HongsaLigniteU1,coal,coal,626,100,10.05,4.6,2.7,90,626,10,10
HongsaLigniteU2,coal,coal,626,100,10.05,4.6,2.7,90,626,10,10
HongsaLigniteU3,coal,coal,626,100,10.05,4.6,2.7,90,626,10,10
Mitlao,biomass,biomass,9.7,3.88,14.1,26,1,1,9.7,1,1
HougAnh,biomass,biomass,30,12,14.1,26,1,1,30,1,1
ChinMengLa,import_cn,import_cn,60,1,0,0,0,0,50,1,1
EGATBungkan,import_th,import_th,200,1,0,0,0,0,200,1,1
EGATMukdahan,import_th,import_th,200,1,0,0,0,0,200,1,1
EGATRoiEt2,slack,slack,10000,1,10000,1000,10000000000,10000000000,5000,1,1
EGATUbon2,slack,slack,10000,1,10000,1000,10000000000,10000000000,5000,1,1
EGATUdon3,slack,slack,10000,1,10000,1000,10000000000,10000000000,5000,1,1
VietPleiKu,slack,slack,10000,1,10000,1000,10000000000,10000000000,5000,1,1
Nasaithong,slack,slack,10000,1,10000,1000,10000000000,10000000000,5000,1,1
EGATNongKhai,slack,slack,10000,1,10000,1000,10000000000,10000000000,5000,1,1
EGATMaeMoh,slack,slack,10000,1,10000,1000,10000000000,10000000000,5000,1,1
EGATNakhouPhanom,slack,slack,10000,1,10000,1000,10000000000,10000000000,5000,1,1
EGATSakonNakhou,slack,slack,10000,1,10000,1000,10000000000,10000000000,5000,1,1
VietThanhMy,slack,slack,10000,1,10000,1000,10000000000,10000000000,5000,1,1
CambKhampongsalao,slack,slack,10000,1,10000,1000,10000000000,10000000000,5000,1,1
