source,sink,susceptance,line_cap,type,source_kv,sink_kv,distance,n_conductors
Mahaxai,SeponMinning,0.035,800,acsr,115,115,88.157,2
Thakhek,Pakbo,0.036,800,acsr,115,115,84.7601,2
Mitlao,Pakbo,0.119,300,acsr,22,22,25,1
EGATMukdahan,Pakbo,0.204,310,acsr,115,115,13.7,1
Pakbo,Nongdeun,0.141,310,acsr,115,115,19.8257,1
Nongdeun,BMet,0.044,800,acsr,115,115,69.8144,2
BMet,MPhin,0.037,800,acsr,115,115,83.0556,2
BanNathone,MPhin,0.021,800,acsr,115,115,144.198,2
Nongdeun,Taothan,0.024,800,acsr,115,115,126.498,2
Taothan,BanNathone,0.035,800,acsr,115,115,88.4008,2
Nongbong,BanNathone,0.079,800,acsr,115,115,38.8836,2
Xekaman3,Nongbong,0.032,250,acsr,115,115,88.2287,1
Xekaman3,VietThanhMy,0.057,1700,acsr,230,230,49.213,2
Xenamnoy1,Nongbong,0.087,250,acsr,115,115,32.3256,1
Xenamnoy6,Xenamnoy1,0.227,150,acsr,22,22,13.1389,1
Xekaman1,VietPleiKu,0.05,1700,acsr,230,230,56.7625,2
HouayHo,EGATUbon2,0.012,1700,acsr,230,230,230,2
BanNathone,Xeset1,0.132,800,acsr,115,115,23.1539,2
Xeset1,Xeset2,0.273,800,acsr,115,115,11.1991,2
Xeset2,Xeset3,0.207,250,acsr,115,115,13.5025,1
Xeset2,Paksong,0.087,250,acsr,115,115,32.3214,1
Xeset3,Paksong,0.108,250,acsr,115,115,25.8425,1
Xeset1,Jiangsai,0.047,250,acsr,115,115,59.6,1
Paksong,Jiangsai,0.15,800,acsr,115,115,20.3679,2
BangYo,Jiangsai,0.333,800,acsr,115,115,9.18073,2
Salabam,BangYo,0.083,300,acsr,22,22,35.9655,1
EGATSirindhorn,BangYo,0.046,250,acsr,115,115,61,1
Jiangsai,BanNa,0.05,800,acsr,115,115,61.5193,2
BanNa,BanHat,0.053,800,acsr,115,115,57.5484,2
Paksong,EGATUbon2,0.032,400,acsr,115,115,88.2,1
BanHat,CambKhampongsalao,0.07,150,acsr,22,22,42.5527,1
HougAnh,Sapaothong,0.146,250,acsr,115,115,19.2053,1
Sapaothong,BanNa,0.028,800,acsr,115,115,109.152,2
NamNgiep2C,Thavieng,0.141,800,acsr,230,230,20,2
NamNgiep2,Thavieng,0.141,800,acsr,230,230,20,2
HouayLamphan,Nongbong,0.102,800,acsr,115,115,30,2
