year,month,day,hour,EGATSirindhorn
2016,1,5,22,20.52
2016,1,5,23,20.52
2016,1,6,0,20.15
2016,1,6,1,20.15
2016,1,6,2,20.15
2016,1,6,3,20.15
2016,1,6,4,20.15
2016,1,6,5,20.15
2016,1,6,6,20.15
2016,1,6,7,20.15
2016,1,6,8,20.15
2016,1,6,9,20.15
2016,1,6,10,20.15
2016,1,6,11,20.15
2016,1,6,12,20.15
2016,1,6,13,20.15
2016,1,6,14,20.15
2016,1,6,15,20.15
2016,1,6,16,20.15
2016,1,6,17,20.15
2016,1,6,18,20.15
2016,1,6,19,20.15
2016,1,6,20,20.15
2016,1,6,21,20.15
2016,1,6,22,20.15
2016,1,6,23,20.15
2016,1,7,0,19.79
2016,1,7,1,19.79
2016,1,7,2,19.79
2016,1,7,3,19.79
2016,1,7,4,19.79
2016,1,7,5,19.79
2016,1,7,6,19.79
2016,1,7,7,19.79
2016,1,7,8,19.79
2016,1,7,9,19.79
2016,1,7,10,19.79
2016,1,7,11,19.79
2016,1,7,12,19.79
2016,1,7,13,19.79
2016,1,7,14,19.79
2016,1,7,15,19.79
2016,1,7,16,19.79
2016,1,7,17,19.79
2016,1,7,18,19.79
2016,1,7,19,19.79
2016,1,7,20,19.79
2016,1,7,21,19.79
2016,1,7,22,19.79
2016,1,7,23,19.79
2016,1,8,0,19.44
2016,1,8,1,19.44
2016,1,8,2,19.44
2016,1,8,3,19.44
2016,1,8,4,19.44
2016,1,8,5,19.44
2016,1,8,6,19.44
2016,1,8,7,19.44
2016,1,8,8,19.44
2016,1,8,9,19.44
2016,1,8,10,19.44
2016,1,8,11,19.44
2016,1,8,12,19.44
2016,1,8,13,19.44
2016,1,8,14,19.44
2016,1,8,15,19.44
2016,1,8,16,19.44
2016,1,8,17,19.44
2016,1,8,18,19.44
2016,1,8,19,19.44
2016,1,8,20,19.44
2016,1,8,21,19.44
2016,1,8,22,19.44
2016,1,8,23,19.44
2016,1,9,0,19.11
2016,1,9,1,19.11
2016,1,9,2,19.11
2016,1,9,3,19.11
2016,1,9,4,19.11
2016,1,9,5,19.11
2016,1,9,6,19.11
2016,1,9,7,19.11
2016,1,9,8,19.11
2016,1,9,9,19.11
2016,1,9,10,19.11
2016,1,9,11,19.11
2016,1,9,12,19.11
2016,1,9,13,19.11
2016,1,9,14,19.11
2016,1,9,15,19.11
2016,1,9,16,19.11
2016,1,9,17,19.11
2016,1,9,18,19.11
2016,1,9,19,19.11
2016,1,9,20,19.11
2016,1,9,21,19.11
2016,1,9,22,19.11
2016,1,9,23,19.11
2016,1,10,0,18.79
2016,1,10,1,18.79
2016,1,10,2,18.79
2016,1,10,3,18.79
2016,1,10,4,18.79
2016,1,10,5,18.79
2016,1,10,6,18.79
2016,1,10,7,18.79
2016,1,10,8,18.79
2016,1,10,9,18.79
2016,1,10,10,18.79
2016,1,10,11,18.79
2016,1,10,12,18.79
2016,1,10,13,18.79
2016,1,10,14,18.79
2016,1,10,15,18.79
2016,1,10,16,18.79
2016,1,10,17,18.79
2016,1,10,18,18.79
2016,1,10,19,18.79
2016,1,10,20,18.79
2016,1,10,21,18.79
2016,1,10,22,18.79
2016,1,10,23,18.79
2016,1,11,0,18.48
2016,1,11,1,18.48
2016,1,11,2,18.48
2016,1,11,3,18.48
2016,1,11,4,18.48
2016,1,11,5,18.48
2016,1,11,6,18.48
2016,1,11,7,18.48
2016,1,11,8,18.48
2016,1,11,9,18.48
2016,1,11,10,18.48
2016,1,11,11,18.48
2016,1,11,12,18.48
2016,1,11,13,18.48
2016,1,11,14,18.48
2016,1,11,15,18.48
2016,1,11,16,18.48
2016,1,11,17,18.48
2016,1,11,18,18.48
2016,1,11,19,18.48
2016,1,11,20,18.48
2016,1,11,21,18.48
2016,1,11,22,18.48
2016,1,11,23,18.48
2016,1,12,0,18.17
2016,1,12,1,18.17
2016,1,12,2,18.17
2016,1,12,3,18.17
2016,1,12,4,18.17
2016,1,12,5,18.17
2016,1,12,6,18.17
2016,1,12,7,18.17
2016,1,12,8,18.17
2016,1,12,9,18.17
2016,1,12,10,18.17
2016,1,12,11,18.17
2016,1,12,12,18.17
2016,1,12,13,18.17
2016,1,12,14,18.17
2016,1,12,15,18.17
2016,1,12,16,18.17
2016,1,12,17,18.17
2016,1,12,18,18.17
2016,1,12,19,18.17
2016,1,12,20,18.17
2016,1,12,21,18.17
2016,1,12,22,18.17
2016,1,12,23,18.17
2016,1,13,0,17.88
2016,1,13,1,17.88
2016,1,13,2,17.88
2016,1,13,3,17.88
2016,1,13,4,17.88
2016,1,13,5,17.88
2016,1,13,6,17.88
2016,1,13,7,17.88
2016,1,13,8,17.88
2016,1,13,9,17.88
2016,1,13,10,17.88
2016,1,13,11,17.88
2016,1,13,12,17.88
2016,1,13,13,17.88
2016,1,13,14,17.88
2016,1,13,15,17.88
2016,1,13,16,17.88
2016,1,13,17,17.88
2016,1,13,18,17.88
2016,1,13,19,17.88
2016,1,13,20,17.88
2016,1,13,21,17.88
2016,1,13,22,17.88
2016,1,13,23,17.88
2016,1,14,0,17.6
2016,1,14,1,17.6
2016,1,14,2,17.6
2016,1,14,3,17.6
2016,1,14,4,17.6
2016,1,14,5,17.6
2016,1,14,6,17.6
2016,1,14,7,17.6
2016,1,14,8,17.6
2016,1,14,9,17.6
2016,1,14,10,17.6
2016,1,14,11,17.6
2016,1,14,12,17.6
2016,1,14,13,17.6
2016,1,14,14,17.6
2016,1,14,15,17.6
2016,1,14,16,17.6
2016,1,14,17,17.6
2016,1,14,18,17.6
2016,1,14,19,17.6
2016,1,14,20,17.6
2016,1,14,21,17.6
2016,1,14,22,17.6
2016,1,14,23,17.6
2016,1,15,0,17.33
2016,1,15,1,17.33
2016,1,15,2,17.33
2016,1,15,3,17.33
2016,1,15,4,17.33
2016,1,15,5,17.33
2016,1,15,6,17.33
2016,1,15,7,17.33
2016,1,15,8,17.33
2016,1,15,9,17.33
2016,1,15,10,17.33
2016,1,15,11,17.33
2016,1,15,12,17.33
2016,1,15,13,17.33
2016,1,15,14,17.33
2016,1,15,15,17.33
2016,1,15,16,17.33
2016,1,15,17,17.33
2016,1,15,18,17.33
2016,1,15,19,17.33
2016,1,15,20,17.33
2016,1,15,21,17.33
2016,1,15,22,17.33
2016,1,15,23,17.33
2016,1,16,0,17.07
2016,1,16,1,17.07
2016,1,16,2,17.07
2016,1,16,3,17.07
2016,1,16,4,17.07
2016,1,16,5,17.07
2016,1,16,6,17.07
2016,1,16,7,17.07
2016,1,16,8,17.07
2016,1,16,9,17.07
2016,1,16,10,17.07
2016,1,16,11,17.07
2016,1,16,12,17.07
2016,1,16,13,17.07
2016,1,16,14,17.07
2016,1,16,15,17.07
2016,1,16,16,17.07
2016,1,16,17,17.07
2016,1,16,18,17.07
2016,1,16,19,17.07
2016,1,16,20,17.07
2016,1,16,21,17.07
2016,1,16,22,17.07
2016,1,16,23,17.07
2016,1,17,0,16.82
2016,1,17,1,16.82
2016,1,17,2,16.82
2016,1,17,3,16.82
2016,1,17,4,16.82
2016,1,17,5,16.82
2016,1,17,6,16.82
2016,1,17,7,16.82
2016,1,17,8,16.82
2016,1,17,9,16.82
2016,1,17,10,16.82
2016,1,17,11,16.82
2016,1,17,12,16.82
2016,1,17,13,16.82
2016,1,17,14,16.82
2016,1,17,15,16.82
2016,1,17,16,16.82
2016,1,17,17,16.82
2016,1,17,18,16.82
2016,1,17,19,16.82
2016,1,17,20,16.82
2016,1,17,21,16.82
2016,1,17,22,16.82
2016,1,17,23,16.82
2016,1,18,0,16.75
2016,1,18,1,16.75
2016,1,18,2,16.75
2016,1,18,3,16.75
2016,1,18,4,16.75
2016,1,18,5,16.75
2016,1,18,6,16.75
2016,1,18,7,16.75
2016,1,18,8,16.75
2016,1,18,9,16.75
2016,1,18,10,16.75
2016,1,18,11,16.75
2016,1,18,12,16.75
2016,1,18,13,16.75
2016,1,18,14,16.75
2016,1,18,15,16.75
2016,1,18,16,16.75
2016,1,18,17,16.75
2016,1,18,18,16.75
2016,1,18,19,16.75
2016,1,18,20,16.75
2016,1,18,21,16.75
2016,1,18,22,16.75
2016,1,18,23,16.75
2016,1,19,0,16.83
2016,1,19,1,16.83
2016,1,19,2,16.83
2016,1,19,3,16.83
2016,1,19,4,16.83
2016,1,19,5,16.83
2016,1,19,6,16.83
2016,1,19,7,16.83
2016,1,19,8,16.83
2016,1,19,9,16.83
2016,1,19,10,16.83
2016,1,19,11,16.83
2016,1,19,12,16.83
2016,1,19,13,16.83
2016,1,19,14,16.83
2016,1,19,15,16.83
2016,1,19,16,16.83
2016,1,19,17,16.83
2016,1,19,18,16.83
2016,1,19,19,16.83
2016,1,19,20,16.83
2016,1,19,21,16.83
2016,1,19,22,16.83
2016,1,19,23,16.83
2016,1,20,0,16.46
2016,1,20,1,16.46
2016,1,20,2,16.46
2016,1,20,3,16.46
2016,1,20,4,16.46
2016,1,20,5,16.46
2016,1,20,6,16.46
2016,1,20,7,16.46
2016,1,20,8,16.46
2016,1,20,9,16.46
2016,1,20,10,16.46
2016,1,20,11,16.46
2016,1,20,12,16.46
2016,1,20,13,16.46
2016,1,20,14,16.46
2016,1,20,15,16.46
2016,1,20,16,16.46
2016,1,20,17,16.46
2016,1,20,18,16.46
2016,1,20,19,16.46
2016,1,20,20,16.46
2016,1,20,21,16.46
2016,1,20,22,16.46
2016,1,20,23,16.46
2016,1,21,0,15.92
2016,1,21,1,15.92
2016,1,21,2,15.92
2016,1,21,3,15.92
2016,1,21,4,15.92
2016,1,21,5,15.92
2016,1,21,6,15.92
2016,1,21,7,15.92
2016,1,21,8,15.92
2016,1,21,9,15.92
2016,1,21,10,15.92
2016,1,21,11,15.92
2016,1,21,12,15.92
2016,1,21,13,15.92
2016,1,21,14,15.92
2016,1,21,15,15.92
2016,1,21,16,15.92
2016,1,21,17,15.92
2016,1,21,18,15.92
2016,1,21,19,15.92
2016,1,21,20,15.92
2016,1,21,21,15.92
2016,1,21,22,15.92
2016,1,21,23,15.92
2016,1,22,0,15.68
2016,1,22,1,15.68
2016,1,22,2,15.68
2016,1,22,3,15.68
2016,1,22,4,15.68
2016,1,22,5,15.68
2016,1,22,6,15.68
2016,1,22,7,15.68
2016,1,22,8,15.68
2016,1,22,9,15.68
2016,1,22,10,15.68
2016,1,22,11,15.68
2016,1,22,12,15.68
2016,1,22,13,15.68
2016,1,22,14,15.68
2016,1,22,15,15.68
2016,1,22,16,15.68
2016,1,22,17,15.68
2016,1,22,18,15.68
2016,1,22,19,15.68
2016,1,22,20,15.68
2016,1,22,21,15.68
2016,1,22,22,15.68
2016,1,22,23,15.68
2016,1,23,0,15.47
2016,1,23,1,15.47
2016,1,23,2,15.47
2016,1,23,3,15.47
2016,1,23,4,15.47
2016,1,23,5,15.47
2016,1,23,6,15.47
2016,1,23,7,15.47
2016,1,23,8,15.47
2016,1,23,9,15.47
2016,1,23,10,15.47
2016,1,23,11,15.47
2016,1,23,12,15.47
2016,1,23,13,15.47
2016,1,23,14,15.47
2016,1,23,15,15.47
2016,1,23,16,15.47
2016,1,23,17,15.47
2016,1,23,18,15.47
2016,1,23,19,15.47
2016,1,23,20,15.47
2016,1,23,21,15.47
2016,1,23,22,15.47
2016,1,23,23,15.47
2016,1,24,0,15.27
2016,1,24,1,15.27
2016,1,24,2,15.27
2016,1,24,3,15.27
2016,1,24,4,15.27
2016,1,24,5,15.27
2016,1,24,6,15.27
2016,1,24,7,15.27
2016,1,24,8,15.27
2016,1,24,9,15.27
2016,1,24,10,15.27
2016,1,24,11,15.27
2016,1,24,12,15.27
2016,1,24,13,15.27
2016,1,24,14,15.27
2016,1,24,15,15.27
2016,1,24,16,15.27
2016,1,24,17,15.27
2016,1,24,18,15.27
2016,1,24,19,15.27
2016,1,24,20,15.27
2016,1,24,21,15.27
2016,1,24,22,15.27
2016,1,24,23,15.27
2016,1,25,0,15.07
2016,1,25,1,15.07
2016,1,25,2,15.07
2016,1,25,3,15.07
2016,1,25,4,15.07
2016,1,25,5,15.07
2016,1,25,6,15.07
2016,1,25,7,15.07
2016,1,25,8,15.07
2016,1,25,9,15.07
2016,1,25,10,15.07
2016,1,25,11,15.07
2016,1,25,12,15.07
2016,1,25,13,15.07
2016,1,25,14,15.07
2016,1,25,15,15.07
2016,1,25,16,15.07
2016,1,25,17,15.07
2016,1,25,18,15.07
2016,1,25,19,15.07
2016,1,25,20,15.07
2016,1,25,21,15.07
2016,1,25,22,15.07
2016,1,25,23,15.07
2016,1,26,0,14.87
2016,1,26,1,14.87
2016,1,26,2,14.87
2016,1,26,3,14.87
2016,1,26,4,14.87
2016,1,26,5,14.87
2016,1,26,6,14.87
2016,1,26,7,14.87
2016,1,26,8,14.87
2016,1,26,9,14.87
2016,1,26,10,14.87
2016,1,26,11,14.87
2016,1,26,12,14.87
2016,1,26,13,14.87
2016,1,26,14,14.87
2016,1,26,15,14.87
2016,1,26,16,14.87
2016,1,26,17,14.87
2016,1,26,18,14.87
2016,1,26,19,14.87
2016,1,26,20,14.87
2016,1,26,21,14.87
2016,1,26,22,14.87
2016,1,26,23,14.87
2016,1,27,0,14.67
2016,1,27,1,14.67
2016,1,27,2,14.67
2016,1,27,3,14.67
2016,1,27,4,14.67
2016,1,27,5,14.67
2016,1,27,6,14.67
2016,1,27,7,14.67
2016,1,27,8,14.67
2016,1,27,9,14.67
2016,1,27,10,14.67
2016,1,27,11,14.67
2016,1,27,12,14.67
2016,1,27,13,14.67
2016,1,27,14,14.67
2016,1,27,15,14.67
2016,1,27,16,14.67
2016,1,27,17,14.67
2016,1,27,18,14.67
2016,1,27,19,14.67
2016,1,27,20,14.67
2016,1,27,21,14.67
2016,1,27,22,14.67
2016,1,27,23,14.67
2016,1,28,0,14.48
2016,1,28,1,14.48
2016,1,28,2,14.48
2016,1,28,3,14.48
2016,1,28,4,14.48
2016,1,28,5,14.48
2016,1,28,6,14.48
2016,1,28,7,14.48
2016,1,28,8,14.48
2016,1,28,9,14.48
2016,1,28,10,14.48
2016,1,28,11,14.48
2016,1,28,12,14.48
2016,1,28,13,14.48
2016,1,28,14,14.48
2016,1,28,15,14.48
2016,1,28,16,14.48
2016,1,28,17,14.48
2016,1,28,18,14.48
2016,1,28,19,14.48
2016,1,28,20,14.48
2016,1,28,21,14.48
2016,1,28,22,14.48
2016,1,28,23,14.48
2016,1,29,0,14.55
2016,1,29,1,14.55
2016,1,29,2,14.55
2016,1,29,3,14.55
2016,1,29,4,14.55
2016,1,29,5,14.55
2016,1,29,6,14.55
2016,1,29,7,14.55
2016,1,29,8,14.55
2016,1,29,9,14.55
2016,1,29,10,14.55
2016,1,29,11,14.55
2016,1,29,12,14.55
2016,1,29,13,14.55
2016,1,29,14,14.55
2016,1,29,15,14.55
2016,1,29,16,14.55
2016,1,29,17,14.55
2016,1,29,18,14.55
2016,1,29,19,14.55
2016,1,29,20,14.55
2016,1,29,21,14.55
2016,1,29,22,14.55
2016,1,29,23,14.55
2016,1,30,0,15.74
2016,1,30,1,15.74
2016,1,30,2,15.74
2016,1,30,3,15.74
2016,1,30,4,15.74
2016,1,30,5,15.74
2016,1,30,6,15.74
2016,1,30,7,15.74
2016,1,30,8,15.74
2016,1,30,9,15.74
2016,1,30,10,15.74
2016,1,30,11,15.74
2016,1,30,12,15.74
2016,1,30,13,15.74
2016,1,30,14,15.74
2016,1,30,15,15.74
2016,1,30,16,15.74
2016,1,30,17,15.74
2016,1,30,18,15.74
2016,1,30,19,15.74
2016,1,30,20,15.74
2016,1,30,21,15.74
2016,1,30,22,15.74
2016,1,30,23,15.74
2016,1,31,0,17.21
2016,1,31,1,17.21
2016,1,31,2,17.21
2016,1,31,3,17.21
2016,1,31,4,17.21
2016,1,31,5,17.21
2016,1,31,6,17.21
2016,1,31,7,17.21
2016,1,31,8,17.21
2016,1,31,9,17.21
2016,1,31,10,17.21
2016,1,31,11,17.21
2016,1,31,12,17.21
2016,1,31,13,17.21
2016,1,31,14,17.21
2016,1,31,15,17.21
2016,1,31,16,17.21
2016,1,31,17,17.21
2016,1,31,18,17.21
2016,1,31,19,17.21
2016,1,31,20,17.21
2016,1,31,21,17.21
2016,1,31,22,17.21
2016,1,31,23,17.21
2016,2,1,0,15.88
2016,2,1,1,15.88
2016,2,1,2,15.88
2016,2,1,3,15.88
2016,2,1,4,15.88
2016,2,1,5,15.88
2016,2,1,6,15.88
2016,2,1,7,15.88
2016,2,1,8,15.88
2016,2,1,9,15.88
2016,2,1,10,15.88
2016,2,1,11,15.88
2016,2,1,12,15.88
2016,2,1,13,15.88
2016,2,1,14,15.88
2016,2,1,15,15.88
2016,2,1,16,15.88
2016,2,1,17,15.88
2016,2,1,18,15.88
2016,2,1,19,15.88
2016,2,1,20,15.88
2016,2,1,21,15.88
2016,2,1,22,15.88
2016,2,1,23,15.88
2016,2,2,0,13.9
2016,2,2,1,13.9
2016,2,2,2,13.9
2016,2,2,3,13.9
2016,2,2,4,13.9
2016,2,2,5,13.9
2016,2,2,6,13.9
2016,2,2,7,13.9
2016,2,2,8,13.9
2016,2,2,9,13.9
2016,2,2,10,13.9
2016,2,2,11,13.9
2016,2,2,12,13.9
2016,2,2,13,13.9
2016,2,2,14,13.9
2016,2,2,15,13.9
2016,2,2,16,13.9
2016,2,2,17,13.9
2016,2,2,18,13.9
2016,2,2,19,13.9
2016,2,2,20,13.9
2016,2,2,21,13.9
2016,2,2,22,13.9
2016,2,2,23,13.9
2016,2,3,0,13.61
2016,2,3,1,13.61
2016,2,3,2,13.61
2016,2,3,3,13.61
2016,2,3,4,13.61
2016,2,3,5,13.61
2016,2,3,6,13.61
2016,2,3,7,13.61
2016,2,3,8,13.61
2016,2,3,9,13.61
2016,2,3,10,13.61
2016,2,3,11,13.61
2016,2,3,12,13.61
2016,2,3,13,13.61
2016,2,3,14,13.61
2016,2,3,15,13.61
2016,2,3,16,13.61
2016,2,3,17,13.61
2016,2,3,18,13.61
2016,2,3,19,13.61
2016,2,3,20,13.61
2016,2,3,21,13.61
2016,2,3,22,13.61
2016,2,3,23,13.61
2016,2,4,0,13.51
2016,2,4,1,13.51
2016,2,4,2,13.51
2016,2,4,3,13.51
2016,2,4,4,13.51
2016,2,4,5,13.51
2016,2,4,6,13.51
2016,2,4,7,13.51
2016,2,4,8,13.51
2016,2,4,9,13.51
2016,2,4,10,13.51
2016,2,4,11,13.51
2016,2,4,12,13.51
2016,2,4,13,13.51
2016,2,4,14,13.51
2016,2,4,15,13.51
2016,2,4,16,13.51
2016,2,4,17,13.51
2016,2,4,18,13.51
2016,2,4,19,13.51
2016,2,4,20,13.51
2016,2,4,21,13.51
2016,2,4,22,13.51
2016,2,4,23,13.51
2016,2,5,0,13.45
2016,2,5,1,13.45
2016,2,5,2,13.45
2016,2,5,3,13.45
2016,2,5,4,13.45
2016,2,5,5,13.45
2016,2,5,6,13.45
2016,2,5,7,13.45
2016,2,5,8,13.45
2016,2,5,9,13.45
2016,2,5,10,13.45
2016,2,5,11,13.45
2016,2,5,12,13.45
2016,2,5,13,13.45
2016,2,5,14,13.45
2016,2,5,15,13.45
2016,2,5,16,13.45
2016,2,5,17,13.45
2016,2,5,18,13.45
2016,2,5,19,13.45
2016,2,5,20,13.45
2016,2,5,21,13.45
2016,2,5,22,13.45
2016,2,5,23,13.45
2016,2,6,0,13.31
2016,2,6,1,13.31
2016,2,6,2,13.31
2016,2,6,3,13.31
2016,2,6,4,13.31
2016,2,6,5,13.31
2016,2,6,6,13.31
2016,2,6,7,13.31
2016,2,6,8,13.31
2016,2,6,9,13.31
2016,2,6,10,13.31
2016,2,6,11,13.31
2016,2,6,12,13.31
2016,2,6,13,13.31
2016,2,6,14,13.31
2016,2,6,15,13.31
2016,2,6,16,13.31
2016,2,6,17,13.31
2016,2,6,18,13.31
2016,2,6,19,13.31
2016,2,6,20,13.31
2016,2,6,21,13.31
2016,2,6,22,13.31
2016,2,6,23,13.31
2016,2,7,0,13.09
2016,2,7,1,13.09
2016,2,7,2,13.09
2016,2,7,3,13.09
2016,2,7,4,13.09
2016,2,7,5,13.09
2016,2,7,6,13.09
2016,2,7,7,13.09
2016,2,7,8,13.09
2016,2,7,9,13.09
2016,2,7,10,13.09
2016,2,7,11,13.09
2016,2,7,12,13.09
2016,2,7,13,13.09
2016,2,7,14,13.09
2016,2,7,15,13.09
2016,2,7,16,13.09
2016,2,7,17,13.09
2016,2,7,18,13.09
2016,2,7,19,13.09
2016,2,7,20,13.09
2016,2,7,21,13.09
2016,2,7,22,13.09
2016,2,7,23,13.09
2016,2,8,0,12.93
2016,2,8,1,12.93
2016,2,8,2,12.93
2016,2,8,3,12.93
2016,2,8,4,12.93
2016,2,8,5,12.93
2016,2,8,6,12.93
2016,2,8,7,12.93
2016,2,8,8,12.93
2016,2,8,9,12.93
2016,2,8,10,12.93
2016,2,8,11,12.93
2016,2,8,12,12.93
2016,2,8,13,12.93
2016,2,8,14,12.93
2016,2,8,15,12.93
2016,2,8,16,12.93
2016,2,8,17,12.93
2016,2,8,18,12.93
2016,2,8,19,12.93
2016,2,8,20,12.93
2016,2,8,21,12.93
2016,2,8,22,12.93
2016,2,8,23,12.93
2016,2,9,0,12.77
2016,2,9,1,12.77
2016,2,9,2,12.77
2016,2,9,3,12.77
2016,2,9,4,12.77
2016,2,9,5,12.77
2016,2,9,6,12.77
2016,2,9,7,12.77
2016,2,9,8,12.77
2016,2,9,9,12.77
2016,2,9,10,12.77
2016,2,9,11,12.77
2016,2,9,12,12.77
2016,2,9,13,12.77
2016,2,9,14,12.77
2016,2,9,15,12.77
2016,2,9,16,12.77
2016,2,9,17,12.77
2016,2,9,18,12.77
2016,2,9,19,12.77
2016,2,9,20,12.77
2016,2,9,21,12.77
2016,2,9,22,12.77
2016,2,9,23,12.77
2016,2,10,0,12.62
2016,2,10,1,12.62
2016,2,10,2,12.62
2016,2,10,3,12.62
2016,2,10,4,12.62
2016,2,10,5,12.62
2016,2,10,6,12.62
2016,2,10,7,12.62
2016,2,10,8,12.62
2016,2,10,9,12.62
2016,2,10,10,12.62
2016,2,10,11,12.62
2016,2,10,12,12.62
2016,2,10,13,12.62
2016,2,10,14,12.62
2016,2,10,15,12.62
2016,2,10,16,12.62
2016,2,10,17,12.62
2016,2,10,18,12.62
2016,2,10,19,12.62
2016,2,10,20,12.62
2016,2,10,21,12.62
2016,2,10,22,12.62
2016,2,10,23,12.62
2016,2,11,0,12.46
2016,2,11,1,12.46
2016,2,11,2,12.46
2016,2,11,3,12.46
2016,2,11,4,12.46
2016,2,11,5,12.46
2016,2,11,6,12.46
2016,2,11,7,12.46
2016,2,11,8,12.46
2016,2,11,9,12.46
2016,2,11,10,12.46
2016,2,11,11,12.46
2016,2,11,12,12.46
2016,2,11,13,12.46
2016,2,11,14,12.46
2016,2,11,15,12.46
2016,2,11,16,12.46
2016,2,11,17,12.46
2016,2,11,18,12.46
2016,2,11,19,12.46
2016,2,11,20,12.46
2016,2,11,21,12.46
2016,2,11,22,12.46
2016,2,11,23,12.46
2016,2,12,0,12.29
2016,2,12,1,12.29
2016,2,12,2,12.29
2016,2,12,3,12.29
2016,2,12,4,12.29
2016,2,12,5,12.29
2016,2,12,6,12.29
2016,2,12,7,12.29
2016,2,12,8,12.29
2016,2,12,9,12.29
2016,2,12,10,12.29
2016,2,12,11,12.29
2016,2,12,12,12.29
2016,2,12,13,12.29
2016,2,12,14,12.29
2016,2,12,15,12.29
2016,2,12,16,12.29
2016,2,12,17,12.29
2016,2,12,18,12.29
2016,2,12,19,12.29
2016,2,12,20,12.29
2016,2,12,21,12.29
2016,2,12,22,12.29
2016,2,12,23,12.29
2016,2,13,0,12.13
2016,2,13,1,12.13
2016,2,13,2,12.13
2016,2,13,3,12.13
2016,2,13,4,12.13
2016,2,13,5,12.13
2016,2,13,6,12.13
2016,2,13,7,12.13
2016,2,13,8,12.13
2016,2,13,9,12.13
2016,2,13,10,12.13
2016,2,13,11,12.13
2016,2,13,12,12.13
2016,2,13,13,12.13
2016,2,13,14,12.13
2016,2,13,15,12.13
2016,2,13,16,12.13
2016,2,13,17,12.13
2016,2,13,18,12.13
2016,2,13,19,12.13
2016,2,13,20,12.13
2016,2,13,21,12.13
2016,2,13,22,12.13
2016,2,13,23,12.13
2016,2,14,0,11.97
2016,2,14,1,11.97
2016,2,14,2,11.97
2016,2,14,3,11.97
2016,2,14,4,11.97
2016,2,14,5,11.97
2016,2,14,6,11.97
2016,2,14,7,11.97
2016,2,14,8,11.97
2016,2,14,9,11.97
2016,2,14,10,11.97
2016,2,14,11,11.97
2016,2,14,12,11.97
2016,2,14,13,11.97
2016,2,14,14,11.97
2016,2,14,15,11.97
2016,2,14,16,11.97
