year,month,day,hour,EGATSirindhorn
2016,1,1,0,27.59
2016,1,1,1,27.59
2016,1,1,2,27.59
2016,1,1,3,27.59
2016,1,1,4,27.59
2016,1,1,5,27.59
2016,1,1,6,27.59
2016,1,1,7,27.59
2016,1,1,8,27.59
2016,1,1,9,27.59
2016,1,1,10,27.59
2016,1,1,11,27.59
2016,1,1,12,27.59
2016,1,1,13,27.59
2016,1,1,14,27.59
2016,1,1,15,27.59
2016,1,1,16,27.59
2016,1,1,17,27.59
2016,1,1,18,27.59
2016,1,1,19,27.59
2016,1,1,20,27.59
2016,1,1,21,27.59
2016,1,1,22,27.59
2016,1,1,23,27.59
2016,1,2,0,27.31
2016,1,2,1,27.31
2016,1,2,2,27.31
2016,1,2,3,27.31
2016,1,2,4,27.31
2016,1,2,5,27.31
2016,1,2,6,27.31
2016,1,2,7,27.31
2016,1,2,8,27.31
2016,1,2,9,27.31
2016,1,2,10,27.31
2016,1,2,11,27.31
2016,1,2,12,27.31
2016,1,2,13,27.31
2016,1,2,14,27.31
2016,1,2,15,27.31
2016,1,2,16,27.31
2016,1,2,17,27.31
2016,1,2,18,27.31
2016,1,2,19,27.31
2016,1,2,20,27.31
2016,1,2,21,27.31
2016,1,2,22,27.31
2016,1,2,23,27.31
2016,1,3,0,27.03
2016,1,3,1,27.03
2016,1,3,2,27.03
2016,1,3,3,27.03
2016,1,3,4,27.03
2016,1,3,5,27.03
2016,1,3,6,27.03
2016,1,3,7,27.03
2016,1,3,8,27.03
2016,1,3,9,27.03
2016,1,3,10,27.03
2016,1,3,11,27.03
2016,1,3,12,27.03
2016,1,3,13,27.03
2016,1,3,14,27.03
2016,1,3,15,27.03
2016,1,3,16,27.03
2016,1,3,17,27.03
2016,1,3,18,27.03
2016,1,3,19,27.03
2016,1,3,20,27.03
2016,1,3,21,27.03
2016,1,3,22,27.03
2016,1,3,23,27.03
2016,1,4,0,21.85
2016,1,4,1,21.85
2016,1,4,2,21.85
2016,1,4,3,21.85
2016,1,4,4,21.85
2016,1,4,5,21.85
2016,1,4,6,21.85
2016,1,4,7,21.85
2016,1,4,8,21.85
2016,1,4,9,21.85
2016,1,4,10,21.85
2016,1,4,11,21.85
2016,1,4,12,21.85
2016,1,4,13,21.85
2016,1,4,14,21.85
2016,1,4,15,21.85
2016,1,4,16,21.85
2016,1,4,17,21.85
2016,1,4,18,21.85
2016,1,4,19,21.85
2016,1,4,20,21.85
2016,1,4,21,21.85
2016,1,4,22,21.85
2016,1,4,23,21.85
2016,1,5,0,20.52
2016,1,5,1,20.52
2016,1,5,2,20.52
2016,1,5,3,20.52
2016,1,5,4,20.52
2016,1,5,5,20.52
2016,1,5,6,20.52
2016,1,5,7,20.52
2016,1,5,8,20.52
2016,1,5,9,20.52
2016,1,5,10,20.52
2016,1,5,11,20.52
2016,1,5,12,20.52
2016,1,5,13,20.52
2016,1,5,14,20.52
2016,1,5,15,20.52
2016,1,5,16,20.52
2016,1,5,17,20.52
2016,1,5,18,20.52
2016,1,5,19,20.52
2016,1,5,20,20.52
2016,1,5,21,20.52
