name,typ,node,deratef_2016,deratef_2017,deratef_2018
KAMPONG_CHAM_GTS,oil_ic,KPCM,1,1,1
KAMPOT_CPP,oil_ic,KPT,1,1,1
KEANSVAY,coal_st,GS7,1,1,1
SIHANOUKVILLE_CIIDG,coal_st,SHV,1,1,1
SIHANOUKVILLE_STUNG_HAV,coal_st,STH,1,1,1
SIHANOUKVILLE,oil_ic,SHV,1,1,1
SIHANOUKVILLE_COLBEN,oil_ic,SHV,1,1,1
KHAN_DANG_KOR,oil_st,GS5,1,1,1
PHUM_TROR_CPGC,oil_ic,GS1,1,1,1
PPSEZ_PLANT,oil_ic,GS1,1,1,1
CENTRALE-2,oil_ic,GS1,1,1,1
CENTRALE-2_CUPL,oil_st,GS1,1,1,1
KHAN_MEAN_CHAY,oil_st,GS2,1,1,1
CENTRALE-3,oil_ic,GS2,1,1,1
CENTRALE-5,oil_ic,GS2,1,1,1
CENTRALE-6,oil_ic,GS3,1,1,1
KHAN_RUSSEY_KEO_COLBEN,oil_ic,GS3,1,1,1
SIEM_RIEP,oil_ic,SRP,1,1,1
impnode_viet,imp_viet,Viet,1,1,1
impnode_thai,imp_thai,Thai,1,1,1
SLACK1,slack,GS1,1,1,1
