kirirom,kamchay,atay
407980.5,5378019.5,23473722
375630.5,4926074,22032356
371726.5,4742430.5,21107345
367494,4982607.5,20532277
428142.5,5149942.5,22549667
470454.5,5224238,26183906
440522,5072095.5,27904954
410325,4756753.5,26680063
414822.5,4499944,26467188
450952.5,4413081.5,26692459
479072,4678013.5,25327294
442073,4809645.5,23548896
430892.5,4703399.5,22822288
442237,4586174.5,22546484
420075,4813199.5,23020995
519334.5,5740798.5,24236647
608268.5,6230462,25051823
611221,6128480.5,24986752
574205,5797999,23295698
516661,5391742,21489789
481044.5,5118415,19796374
440645,4945028,18313519
412395.5,4712928,17988667
390799,4453242,17306002
389895.5,4412399,16935305
387886,4812850,17807600
354223,5101311.5,17536399
356113,4953333,18101242
347999,5088828,18640933
405764.5,5362033.5,19404689
429599.5,5436917.5,19821777
414639.5,5197369.5,19100254
389883,4998299.5,18942508
373838,4917489,18314165
399200.5,4943624,18905293
384648,5233662.5,20054353
598285,6796351.5,22925481
899918.5,8943412.5,31222290
904171,9857817.5,33254569
876177.5,9575602.5,33851311
822960.5,9240830.5,32210352
803317.5,9249048,29972059
879598,9087232.5,31968441
822277,8497503,30102463
790384,8102459.5,29499092
745680.5,7925674.5,28324711
741014,8363699.5,27865208
725784,8353070.5,26860320
696234.5,7832698,25185442
653616.5,7329581,25665022
617126.5,6878267.5,25121776
570751.5,6883236.5,24484913
602860,7450124.5,26169242
579214,8626638,24774618
575407.5,9187320.5,25279109
562122,11335474,24961876
532624,10781888.5,22828516
487440,9715867,21509004
436366,8506920,19374516
397312.5,7690262.5,17576315
362509.5,6890579,15827671
329254,6181219.5,14257667
296379.5,5597461,12852321
266582.5,5046441,11561023
239763,4527038.5,10423106
215622,4053931,9393882
193908.5,3671796.5,8524707
181752.5,3397675.5,8137802
164201,3169616,7521625
147650,2892774,6823889
132709.5,3234819,6216675
124243,3233936,5687333
112878,3064880,5218492
102054,2891841,4753634
91767.5,2659554.5,4299517
84452,2443595.5,4105696
76085,2247145.5,3819191
68282,2090618,3453186
61340.5,2007562,3121098
58915,1959855,2882869
