kirirom,kamchay,atay
4066,52564,74255
4029,52084,73551
3992,50416,72819
3955,50582,72158
3918,49877,71487
3882,49674,70880
3845,50561,70333
3814,50656,73828
3799,51293,77185
3849,51202,75976
3792,51137,74200
3749,49209,72318
3713,46687,70303
3696,46048,68719
3665,46444,73622
3644,46968,80548
3620,47211,93806
3590,46966,113787
3560,46000,115216
3545,46570,110980
3960,62803,114203
3726,61496,113009
3551,57443,107492
3496,55689,99230
3459,50014,91033
3424,46135,84040
3391,44813,89136
3382,38579,96736
3354,34644,94234
3320,34860,89804
3287,35739,85176
3255,35174,80909
3223,33671,77026
3191,32456,73384
3160,34406,70178
3130,35537,67235
3100,35426,64794
3070,36942,63095
3040,35936,61898
3011,39926,61109
2983,42544,60557
2957,39666,59901
2931,37303,59292
2906,34423,58654
2879,34136,58063
2852,33446,57510
2836,42570,57141
3171,43435,73851
2980,41517,102241
2863,41589,111858
2840,39935,106991
3633,37201,115599
3483,36665,125394
3353,35345,129519
3434,34652,141735
4811,38779,168453
5006,41352,200829
6794,44452,253546
7605,44060,283031
6909,41282,277492
6066,38915,253124
5300,36655,227331
4621,32407,238505
4070,30945,232124
3829,31918,230209
6600,31655,294021
8358,31578,322685
8111,35005,336967
8854,41284,359343
10697,53960,371072
11961,66813,392425
11327,76577,419841
12775,84960,437503
11716,83692,412554
10703,76624,375861
9599,87620,339172
10225,91030,330933
9639,105882,374289
8616,101647,364605
7624,96468,330680
8198,95214,350727
8302,92509,380906
11219,89964,456631
10630,86798,458500
9711,79791,425204
8776,73515,406991
8029,64612,375944
7205,57783,344752
7005,52834,312705
6384,63741,299852
7042,66889,303633
8475,73487,342813
8573,72110,389687
8791,77603,387330
8901,71333,391033
9368,71236,428839
10495,82721,444632
9771,107047,429497
10069,109916,466697
14953,111487,501442
14479,110889,485861
13348,117544,466378
15126,161935,515897
17441,195121,539888
19724,243553,591028
21673,255726,568095
24080,277194,576070
23912,274446,590524
24757,264385,588126
25647,260250,624802
28083,265422,651220
30617,277536,667224
31034,300569,748019
29350,335079,766848
34227,349429,772700
33726,369650,787337
33685,385260,798944
30821,390774,760966
33737,372633,730752
31337,349613,681476
28334,338777,643638
25558,326841,598898
25084,304855,567540
23677,281503,546894
22784,264194,535198
21212,252108,531801
19394,247817,543809
20070,244685,573783
21085,245236,599079
21229,255102,650352
22524,265573,696866
20658,263500,658900
19049,269891,606710
19322,280613,589588
19350,300477,618223
21767,330090,629658
24759,351693,699998
27030,353049,755713
26970,361001,766298
28403,345609,802733
28526,346290,806253
29871,337460,852513
29281,339497,828200
30882,349940,875524
30738,349499,884289
30304,342007,856363
28024,333387,823498
26533,342700,862793
24402,347421,873370
23330,338573,850456
23020,343499,816372
25542,346921,835519
25387,356857,829867
28329,401215,860008
31495,456314,886975
33406,713351,992225
45796,1010522,1220956
53129,1089031,1338025
48370,1016025,1318580
43194,905960,1191383
39169,831000,1081899
37470,805974,1026570
36605,796886,1013338
35462,737368,1039227
34729,692538,988545
32110,635013,912068
29282,577449,841212
26504,538858,791717
25189,511409,768389
26647,503125,802402
