kirirom,atay,kamchay
292.704583,5709.749616,4218.236133
272.8071181,5709.749616,4218.236133
254.9038417,5709.35676,4218.236133
238.7932325,5707.498235,4218.236133
224.3059841,5703.660912,4218.236133
216.1355861,5698.514313,4218.236133
204.4250294,5692.322149,4217.54597
193.3893723,5684.760427,4214.946985
183.4281515,5675.838489,4212.635024
177.7336542,5665.73186,4211.824858
170.1447455,5654.584774,4210.266621
162.9215319,3608.595511,4190.043876
156.0609442,3339.767935,4148.636894
151.1560102,3236.007553,4102.162147
145.5698959,3084.058998,4051.757581
140.3606211,2890.906193,3996.926859
135.7217965,2715.713184,3937.968486
134.0386869,2589.632482,3875.923958
137.269332,2535.259426,3812.862432
135.7101775,2664.960839,3752.087286
132.1468909,2623.810836,3692.9062
128.3021891,2516.192736,2695.111064
125.3647755,2392.313831,2149.858973
124.356674,2292.277689,2056.407835
123.9528281,2227.8145,1981.74425
123.5835251,2166.284787,1908.871497
123.2298766,2124.819732,1839.81016
122.8736978,2076.074297,1776.086953
122.521149,2029.016968,1715.135969
122.2466625,1991.892717,1731.572323
129.6055912,2007.411585,1837.503443
127.5640781,2015.696787,1851.347933
123.9530782,1987.954793,1798.600073
122.0975742,1963.809281,1740.089285
121.5993171,1943.619036,1702.799381
121.2937054,1926.740072,1672.598186
121.0640781,1917.778596,1639.437083
120.7609797,1907.561899,1598.861647
120.4450165,1887.85121,1555.202122
120.1309958,1868.433713,1517.19617
119.819877,1855.311684,1484.047199
119.5106923,1845.340696,1461.468389
119.2088871,1837.179404,1439.031977
119.5201456,1868.692094,1449.081099
119.0027921,1895.830049,1467.853452
118.6459922,1876.630722,1448.150407
118.3522322,1844.05276,1413.326222
118.0613336,1817.90964,1378.062037
117.7716951,1803.393833,1380.025328
117.4951129,1793.612678,1350.875207
113.7963535,1785.964841,1330.450797
