hour,atay,kamchay,kirirom1,kirirom3
0,752.4424130661173,236.57097411560235,77.3630564340134,107.03932555482814
1,1804.4970688591409,624.9429883123623,206.80295782173374,292.04371514770344
2,1795.6567637058279,614.4682256666753,205.77523883822397,290.6847762231524
3,1787.5376210447916,612.1946997711268,204.94570244764992,289.4714700930888
4,1779.3340850902232,606.07656718304,204.0484815164047,288.2138825760892
5,1771.7778722969806,602.1895449996431,203.11870294166755,286.9367535823935
6,1764.8462370605132,603.0755141970409,202.202753309996,285.6732575513426
7,1798.6524732708954,600.4838658679757,201.38232148113593,284.5404178692103
8,1831.0022103914407,600.2261077850826,201.62272682494572,284.3825626090493
9,1817.3702126695687,596.8117348610826,200.61077028694754,284.13357579430135
10,1798.0575556633084,593.5094656191486,199.73921920153595,282.6474053062055
11,1777.7065283407105,582.2717729461068,198.85549232173344,281.32909964870976
12,1756.0538018933248,568.6052130054923,197.96043098615905,280.09336983930325
13,1738.7552110121128,562.9863240685311,197.18058723106435,279.1700756746385
14,1786.483214391846,561.736290859268,196.35395527391367,278.0485579031609
15,1854.3877504524307,561.0057181461082,195.5687545978789,277.0724092618275
16,1985.5262480531703,559.0817069371897,194.8363685912684,276.1021917297527
17,2183.6455308981117,555.1335626555776,194.0933305565144,275.0584764179895
18,2196.1494163967436,548.2369594144294,193.41225633298092,274.0443350517787
19,2152.0983055577394,547.6549580523715,192.7722974352631,273.2628387584387
20,2182.4912720318857,610.7139125714957,194.9408689377899,279.856671825683
21,2168.8268339853803,602.1570789789512,197.94331157201958,278.91297370805387
22,2112.142963496144,582.6108530217165,194.98507006330817,274.46744174131834
23,2028.2450321332644,572.4374164803629,192.07453385830814,271.57212098077656
24,1945.1250446135045,546.7454299818495,190.8849805855238,270.12533043904574
25,1874.1029919486832,528.403900584823,190.08706708287176,268.9736642053041
26,1923.1435552386665,520.2941018462611,189.56008743703194,268.05088985179634
27,1996.9305689809971,493.02209344919936,188.98528299617698,267.37867427398226
28,1970.5096999017069,474.96441248083215,188.31508947712837,266.4123142615914
29,1925.0515263282987,473.1403950784138,187.581140359804,265.33462574107256
30,1877.7105395839935,473.8565396973206,186.84711739140272,264.26089262249377
31,1834.0037453824184,469.00764385947787,186.12758586429294,263.20546007308906
32,1794.1621066527628,460.6182637138555,185.42205357622737,262.16758718044537
33,1756.7619825882805,453.3830842155726,184.72959136431467,261.14617567925006
34,1723.7200019507643,458.10259933651173,184.04929754004408,260.140101084978
