year,month,day,hour,Node1,Node2
2016,1,1,0,401.8,58.4
2016,1,1,1,390.9,56.8
2016,1,1,2,375.7,54.6
2016,1,1,3,367.3,53.3
2016,1,1,4,365.6,53.1
2016,1,1,5,375.3,54.5
2016,1,1,6,449.8,65.4
2016,1,1,7,536.4,78
2016,1,1,8,580.6,84.4
2016,1,1,9,581.2,84.5
2016,1,1,10,554.2,80.5
2016,1,1,11,531.9,77.3
2016,1,1,12,578.7,84.1
2016,1,1,13,600.2,87.2
2016,1,1,14,575.5,83.6
2016,1,1,15,546.4,79.5
2016,1,1,16,496.6,72.1
2016,1,1,17,478.3,69.5
2016,1,1,18,508.4,73.9
2016,1,1,19,510.3,74.1
2016,1,1,20,521.3,75.8
2016,1,1,21,486.7,70.8
2016,1,1,22,447.7,65
2016,1,1,23,424.4,61.7
2016,1,2,0,361.6,52.5
2016,1,2,1,351.7,51.2
2016,1,2,2,338.2,49.2
2016,1,2,3,330.5,48
2016,1,2,4,329.1,47.8
2016,1,2,5,337.7,49.1
2016,1,2,6,404.8,58.8
2016,1,2,7,482.8,70.2
2016,1,2,8,522.5,75.9
2016,1,2,9,523.2,76
2016,1,2,10,498.7,72.5
2016,1,2,11,478.7,69.5
2016,1,2,12,520.9,75.7
2016,1,2,13,540.2,78.5
2016,1,2,14,517.9,75.3
2016,1,2,15,491.8,71.5
2016,1,2,16,446.9,64.9
2016,1,2,17,430.5,62.5
2016,1,2,18,457.6,66.5
2016,1,2,19,459.3,66.7
2016,1,2,20,469.1,68.2
2016,1,2,21,438.1,63.7
2016,1,2,22,402.9,58.6
2016,1,2,23,382,55.5
2016,1,3,0,361.6,52.5
2016,1,3,1,351.7,51.2
2016,1,3,2,338.2,49.2
2016,1,3,3,330.5,48
2016,1,3,4,329.1,47.8
2016,1,3,5,337.7,49.1
2016,1,3,6,404.8,58.8
2016,1,3,7,482.8,70.2
2016,1,3,8,522.5,75.9
2016,1,3,9,523.2,76
2016,1,3,10,498.7,72.5
2016,1,3,11,478.7,69.5
2016,1,3,12,520.9,75.7
2016,1,3,13,540.2,78.5
2016,1,3,14,517.9,75.3
2016,1,3,15,491.8,71.5
2016,1,3,16,446.9,64.9
2016,1,3,17,430.5,62.5
2016,1,3,18,457.6,66.5
2016,1,3,19,459.3,66.7
2016,1,3,20,469.1,68.2
2016,1,3,21,438.1,63.7
2016,1,3,22,402.9,58.6
2016,1,3,23,382,55.5
2016,1,4,0,401.8,58.4
2016,1,4,1,390.9,56.8
2016,1,4,2,375.7,54.6
2016,1,4,3,367.3,53.3
2016,1,4,4,365.6,53.1
2016,1,4,5,375.3,54.5
2016,1,4,6,449.8,65.4
2016,1,4,7,536.4,78
2016,1,4,8,580.6,84.4
2016,1,4,9,581.2,84.5
2016,1,4,10,554.2,80.5
2016,1,4,11,531.9,77.3
2016,1,4,12,578.7,84.1
2016,1,4,13,600.2,87.2
2016,1,4,14,575.5,83.6
2016,1,4,15,546.4,79.5
2016,1,4,16,496.6,72.1
2016,1,4,17,478.3,69.5
2016,1,4,18,508.4,73.9
2016,1,4,19,510.3,74.1
2016,1,4,20,521.3,75.8
2016,1,4,21,486.7,70.8
2016,1,4,22,447.7,65
2016,1,4,23,424.4,61.7
2016,1,5,0,401.8,58.4
2016,1,5,1,390.9,56.8
2016,1,5,2,375.7,54.6
2016,1,5,3,367.3,53.3
2016,1,5,4,365.6,53.1
2016,1,5,5,375.3,54.5
2016,1,5,6,449.8,65.4
2016,1,5,7,536.4,78
2016,1,5,8,580.6,84.4
2016,1,5,9,581.2,84.5
2016,1,5,10,554.2,80.5
2016,1,5,11,531.9,77.3
2016,1,5,12,578.7,84.1
2016,1,5,13,600.2,87.2
2016,1,5,14,575.5,83.6
2016,1,5,15,546.4,79.5
2016,1,5,16,496.6,72.1
2016,1,5,17,478.3,69.5
2016,1,5,18,508.4,73.9
2016,1,5,19,510.3,74.1
2016,1,5,20,521.3,75.8
2016,1,5,21,486.7,70.8
2016,1,5,22,447.7,65
2016,1,5,23,424.4,61.7
2016,1,6,0,401.8,58.4
2016,1,6,1,390.9,56.8
2016,1,6,2,375.7,54.6
2016,1,6,3,367.3,53.3
2016,1,6,4,365.6,53.1
2016,1,6,5,375.3,54.5
2016,1,6,6,449.8,65.4
2016,1,6,7,536.4,78
2016,1,6,8,580.6,84.4
