name,typ,node,maxcap,mincap,heat_rate,var_om,fix_om,st_cost,ramp,minup,mindn
PowerProspect1,biomass_st,Ayutthaya1,9.9,2,14.1,26,1,1,9.9,2,2
Rojana1Sc1,wsth_st,Ayutthaya1,61,8,14.1,26,1.2,50,38,6,6
AyuthayaMill1,coal_st,Ayutthaya2,56.6,7,10.05,4.6,2.7,90,36,10,10
WangNoi1Sc1,wsth_st,WangNoi,205,41,14.1,26,1.2,50,205,6,6
WangNoi2Sc1,wsth_st,WangNoi,205,41,14.1,26,1.2,50,205,6,6
Bangchakrefineryu1,oil_st,BangchakRefinery,19,1,10.19,3.17,1.5,50,6,1,1
LatKrabangSc1,wsth_st,BangchakRefinery,40,8,14.1,26,1.2,50,40,6,6
Bangbo,gas_gt,BangKapi,350,70,11.21,2,1.7,70,350,1,1
SamutprakarnSc1,wsth_st,BangKapi,54,11,14.1,26,1.2,50,54,6,6
BangkokHsfcPlant1,coal_st,BangkokNoi,46,5,10.05,4.6,2.7,90,10,10,10
NongKhaem1,gas_ic,BangkokNoi,9.38,2,9.18,3.17,1.5,70,9.38,1,1
TorayNylonIc5,oil_ic,BangkokNoi,5,1,10.33,3.17,1.5,50,5,1,1
SLACK_BangkokNoi,slack,BangkokNoi,10000,1,10000,1000,10000000000,10000000000,5000,1,1
Bangpakongu1,gas_cc,BangPakong,550,110,7.65,2,1.2,70,550,4,4
Bangpakongu2,gas_cc,BangPakong,550,110,7.65,2,1.2,70,550,4,4
Bangpakongu3,gas_st,BangPakong,600,120,11.21,2,1.2,70,600,6,6
Bangpakongu4,gas_st,BangPakong,600,120,11.21,2,1.2,70,600,6,6
BangPakongCc1Sc1,wsth_st,BangPakong,120,24,14.1,26,1.2,50,120,6,6
Bowinpowercc1,gas_gt,BoWin,370,74,11.21,2,1.7,70,370,1,1
Bowinpowercc2,gas_gt,BoWin,370,74,11.21,2,1.7,70,370,1,1
BanBueng1,biomass_st,ChonBuri2,9.9,2,14.1,26,1,1,9.9,2,2
AmataNakorn2BSc1,wsth_st,ChonBuri2,23,5,14.1,26,1.2,50,23,6,6
Bpwha1Sc1,wsth_st,ChonBuri,160,8,14.1,26,1.2,50,40,6,6
SabcoBiomass1,biomass_st,Chumphon,9.5,2,14.1,26,1,1,9.5,2,2
KaengKhoiFactory,coal_st,GulfJPNS,17.2,3,10.05,4.6,2.7,90,17.2,10,10
Gulfjpns,gas_cc,GulfJPNS,800,160,7.65,2,1.2,70,800,4,4
Gulfjput,gas_cc,GulfJPUT,800,160,7.65,2,1.2,70,800,4,4
Kaengkhoi2U1,gas_gt,KaengKhoi2,734,147,11.21,2,1.7,70,734,1,1
Kaengkhoi2U2,gas_gt,KaengKhoi2,734,147,11.21,2,1.7,70,734,1,1
VajiralongkornIc,oil_ic,Kanchanaburi,5,1,10.33,3.17,1.5,50,5,1,1
WangSalaMill1,coal_st,Kanchanaburi2,60.2,5,10.05,4.6,2.7,90,26.2,10,10
WangSalaMill2,coal_st,Kanchanaburi2,34,7,10.05,4.6,2.7,90,34,10,10
Khanomcc,gas_cc,Khanom,678,136,7.65,2,1.2,70,678,4,4
Khanom,gas_gt,Khanom,70.2,14,11.21,2,1.7,70,70.2,1,1
Krabi,gas_st,Krabi,340,68,11.21,2,1.2,70,340,6,6
LampangCementPlant1,wsth_st,Lampang1,8.5,2,14.1,26,1.2,50,8.46,6,6
Lankrabue,oil_gt,LanKrabu,14,3,13.54,3.17,1.5,50,14,1,1
Maehongson,oil_st,MaeHongSon,6,1,10.19,3.17,1.5,50,6,1,1
ChiangMaiWte1,gas_ic,MaeTaeng,25,5,9.18,3.17,1.5,70,25,1,1
Chiangmaifangu1,oil_ic,MaeTaeng,12,1,10.33,3.17,1.5,50,6,1,1
Nakhonpathom,biomass_st,NakhonPathom,9.9,2,14.1,26,1,1,9.9,2,2
AmpharSampran1,coal_st,NakhonPathom,14.9,3,10.05,4.6,2.7,90,14.9,10,10
KampaengsaenWestIc1,gas_ic,NakhonPathom,64,2,9.18,3.17,1.5,70,8,1,1
AmpharSampranIc1,oil_ic,NakhonPathom,11,1,10.33,3.17,1.5,50,5.5,1,1
KoratGt1,oil_gt,NakhonRatchasima1,28,3,13.54,3.17,1.5,50,14,1,1
CrbChangRaek1,biomass_st,NakhonSiThammarat,19,2,14.1,26,1,1,9.5,2,2
ThungSongCement1,wsth_st,NakhonSiThammarat,20.5,4,14.1,26,1.2,50,20.5,6,6
Maptaphutu1,gas_gt,NikomMapTaPhut,673.25,135,11.21,2,1.7,70,673.25,1,1
Maptaphutu2,gas_gt,NikomMapTaPhut,673.25,135,11.21,2,1.7,70,673.25,1,1
NongChokGt3,gas_gt,NongChok,244,24,11.21,2,1.7,70,122,1,1
SLACK_NongChok_230,slack,NongChok,10000,1,10000,1000,10000000000,10000000000,5000,1,1
Northbangkok,gas_cc,NorthBangkok,700,140,7.65,2,1.2,70,700,4,4
PhetchaburiPalmOil1,gas_ic,Phetchaburi,15,3,9.18,3.17,1.5,70,15,1,1
PhuketNew1,gas_ic,Phuket1,14,1,9.18,3.17,1.5,70,7,1,1
PrachinBuriMillGt5,gas_gt,PrachinBuri1,76.5,8,11.21,2,1.7,70,38.34,1,1
PrachinBuriMill4,gas_ic,PrachinBuri1,37.15,7,9.18,3.17,1.5,70,37.15,1,1
PrachuapSugarMill1,biomass_st,PrachuapKhiriKhan,19.4,2,14.1,26,1,1,10,2,2
Pttolefinsu1,oil_gt,PTTOlefins,78.9,5,13.54,3.17,1.5,50,26.3,1,1
