source,sink,linesus,linemva
MaeMoh4,Lamphun2,0.017,1700
MahaSarakham,RoiEt,0.039,1000
Manorom,ChaiNat,0.082,850
Manorom,NakhonSawan,0.065,1000
Manorom,Takhli2,0.057,850
MitrBiopower,Loei,0.061,850
Mukdahan,AmnatCharoen,0.038,850
Mukdahan,Pakbo,0.204,850
Nabong,UdonThani3,0.026,3400
NakhonChaisi,SamPhran2,0.217,1700
NakhonPathom,NakhonChaisi,0.217,1700
NakhonPhanom2,SakonNakhon2,0.088,1700
NakhonPhanom,NakhonPhanom2,0.108,1700
NakhonPhanom,SakonNakhon,0.073,850
NakhonPhanom,ThatPhanom,0.087,1000
NakhonRatchasima1,BuriRam,0.031,850
NakhonRatchasima1,Khong,0.047,850
NakhonRatchasima1,Phon,0.033,850
NakhonRatchasima2,BuriRam,0.035,1000
NakhonRatchasima2,Chaiyaphum1,0.032,1700
NakhonRatchasima2,Khong,0.038,850
NakhonRatchasima2,NakhonRatchasima1,0.109,1000
NakhonRatchasima2,PakChong,0.034,850
NakhonRatchasima2,SiKhiu,0.052,850
NakhonSawan,ThaTako,0.055,1700
NakhonSiThammarat,Phatthalung,0.031,1700
NakhonSiThammarat,Ranot,0.031,1000
NamLeuk,Paksan,0.041,850
NamMang3,Nabong,0.065,1000
NamNgum1,NamLeuk,0.038,850
NamNgum1,Nasaithong,0.054,1000
NamNgum1,Thalath,0.154,1000
NamNgum2,Nabong,0.049,1700
NamPhong2,KhonKaen3,0.052,1700
NamPhong2,NamPhong1,0.191,1000
NamTheun2,RoiEt2,0.011,3400
Nan1,Phrae,0.025,850
Narathiwat,SungaiKolok,0.053,850
Nasaithong,Paktang,0.217,850
Nasaithong,Phontong,0.166,1200
NavaNakhon,Rangsit,0.217,3400
NikomMapTaPhut,PluakDaeng,0.044,3400
NongBuaLamPhu,Loei,0.041,1200
NongChok,OnNuch,0.039,3400
NongChok,PluakDaeng,0.019,3400
NongKhai,UdonThani1,0.147,850
NorthBangkok,Chatuchak,0.282,1700
OnNuch,BangKapi,0.128,3400
PakMunDam,UbonRatchathani2,0.066,1000
Paksan,BuengKan,0.065,850
Paksong,Ubon2,0.032,850
Paktang,Phontong,0.208,850
Pangnga2,Phuket3,0.048,1000
Pattani,Yala,0.09,850
Phachi2,ChomBueng,0.013,1700
Phachi2,NongChok,0.039,3400
Phachi2,SaiNoi,0.034,1700
Phangnga2,Phuket3,0.053,1700
PhanThong,AoPhai,0.07,1700
PhanThong,ChonBuri,0.101,1700
Phatthalung,HatYai1,0.033,850
Phatthalung,HatYai2,0.029,1700
Phayao,Chiangrai,0.036,850
Phetchabun,LomSak,0.056,850
Phetchaburi,ChaAm,0.076,850
Phetchaburi,Ratchaburi2,0.078,1000
Phichit,AkaraMining,0.055,850
Phitsanulok1,LanKrabu,0.072,850
Phitsanulok1,Phichit,0.07,850
Phitsanulok1,Phitsanulok2,0.088,850
Phitsanulok2,MaeMoh4,0.021,1700
Phitsanulok2,NakhonSawan,0.02,1700
PhoneSoung,Nasaithong,0.105,850
Phontong,Donkoi,0.196,850
Phontong,NongKhai,0.087,1000
Phontong,Thanaleng,0.187,850
Phrae,Uttaradit,0.062,1000
Phuket3,Phuket1,0.184,1200
Phuket3,Phuket2,0.184,1200
PrachinBuri2,SimahaPhot,0.191,1000
PrachinBuri2,WatthanaNakhon,0.047,1000
PrachuapKhiriKhan,BangSaphan,0.033,1000
PranBuri,PrachuapKhiriKhan,0.046,850
PTTOlefins,Rayong3,0.255,850
RajjaprabhaDam,Pangnga2,0.035,1250
RajjaprabhaDam,SuratThani,0.069,1700
Rangsit,ChaengWatthana,0.039,3400
Ranong,TakuaPa,0.027,850
Ratchaburi1,BanPong1,0.07,850
Ratchaburi1,Ratchaburi2,0.102,1000
Ratchaburi1,SamutSongkhram,0.082,850
Ratchaburi2,BanPong2,0.038,1700
Ratchaburi2,HuaHin,0.03,1700
Ratchaburi2,Ratchaburi3,0.072,1700
Ratchaburi3,SamPhran1,0.166,1050
Ratchaburi3,SamutSakhon1,0.204,1000
Ratchaburi3,SamutSakhon3,0.166,1050
Ratchaburi3,SamutSakhon4,0.204,1000
Ratchaburi,Ratchaburi3,0.282,1700
RatchaburiThermal,BanPong1,0.282,1700
Ratchadaphisek,LatPhrao,0.128,1700
Rayong1,Klaeng,0.057,1050
Rayong2,BanKhai,0.059,3400
Rayong2,Rayong1,0.094,3400
Rayong2,Rayong3,0.153,1000
Rayong3,Klaeng,0.051,1000
Rayong3,Rayong1,0.305,1000
Rayong3,Sattahip1,0.087,1000
Rayong,Rayong2,0.094,1700
RoiEt2,KhonKaen3,0.019,1700
RoiEt2,MahaSarakham,0.08,850
RoiEt2,RoiEt,0.039,1000
RoiEt2,Somdet,0.112,850
RoiEt2,Surin,0.019,1700
RoiEt2,Yasothon,0.049,1700
RoiEt,Kalasin,0.06,1000
Sadao,ChiupingMalaysia,0.076,850
SaiNoi,BangkokNoi,0.039,3400
SaiNoi,ChomBueng,0.02,1700
SaiNoi,Rangsit,0.039,3400
SakonNakhon,Kalasin,0.03,850
SakonNakhon,SakonNakhon2,0.127,1000
SakonNakhon,Thakhek,0.055,850
SakonNakhon,ThatPhanom,0.037,850
Salokbat,NakhonSawan,0.082,850
SamPhran1,BangkokNoi,0.166,1700
SamPhran2,SamPhran1,0.204,1000
SamutSakhon1,SamPhran1,0.187,850
SamutSakhon1,SamutSakhon3,0.187,850
SamutSakhon3,SamPhran1,0.166,1050
SamutSongkhram,SamutSakhon4,0.165,850
Saraburi2,PakChong,0.1,850
Saraburi2,Saraburi3,0.14,850
Saraburi2,SiKhiu,0.05,850
Saraburi4,NakhonNayok,0.072,850
Sattahip1,Sattahip2,0.235,1000
SimahaPhot,PrachinBuri1,0.047,850
SimahaPhot,WatthanaNakhon,0.039,850
SingBuri,Thalan3,0.034,1050
SiRacha,BanBueng,0.085,850
SirikitDam,Phitsanulok2,0.025,1700
SirikitDam,Uttaradit,0.062,1000
Sirindhorn,BangYo,0.046,850
Sirindhorn,UbonRatchathani1,0.054,1000
