source,sink,linemva,linesus
GS1,GS3,238,0.256
KPS,GS5,170,0.073
KIR1h,KPS,170,0.041
GS1,KPS,85,0.066
Thai,IE,604,0.733
IE,BMC,604,0.068
BMC,SRP,302,0.034
BMC,BTB,604,0.055
TKO,GS4,860,0.057
Viet,TKO,604,0.05
GS2,GS3,238,0.256
GS4,GS2,238,0.096
GS4,GS1,238,0.083
Salabam,STR,170,0.305
TKO,KPT,604,0.035
KMCh,KPT,604,0.228
KPCG,PRST,1722,0.034
PRST,BTB,1722,0.023
OSM,PRST,1722,0.021
KIR1h,KIR3h,170,0.084
ATYh,OSM,1722,0.17
KPT,STH,860,0.032
SHV,STH,604,0.292
GS6,KPCM,1722,0.029
GS6,GS5,1722,0.059
LRCh,OSM,1208,0.065
LRCh,TTYh,1722,0.071
GS7,GS4,476,0.073
GS5,GS1,238,0.768
GS4,GS6,1722,0.07
GS6,KPCG,1722,0.059
STR,KPCM,238,0.768
