name,unit_type,fuel_type,max_capacity,min_capacity,heat_rate,operation_cost,fixed_cost,startup_cost,ramp_rate,min_uptime,min_downtime
KAMPONGCHAMGTS,oil_ic,oil,10.74,4,10.33,3.17,1.5,50,11,1,1
KAMPOTCPP,oil_ic,oil,24,9,10.33,3.17,1.5,50,24,1,1
KEANSVAY,coal_st,coal,10.1,4,10.05,4.6,2.7,90,10,10,10
SIHANOUKVILLECIIDG,coal_st,coal,270,108,10.05,4.6,2.7,90,270,10,10
SIHANOUKVILLESTUNGHAV,coal_st,coal,120,48,10.05,4.6,2.7,90,120,10,10
SIHANOUKVILLE,oil_ic,oil,10.44,4,10.33,3.17,1.5,50,10,1,1
SIHANOUKVILLECOLBEN,oil_ic,oil,8,3,10.33,3.17,1.5,50,8,1,1
KHANDANGKOR,oil_st,oil,45,18,10.19,3.17,1.5,50,45,1,1
PHUMTRORCPGC,oil_ic,oil,5,2,10.33,3.17,1.5,50,5,1,1
PPSEZPLANT,oil_ic,oil,10,4,10.33,3.17,1.5,50,10,1,1
CENTRALE2,oil_ic,oil,18,7,10.33,3.17,1.5,50,18,1,1
CENTRALE2CUPL,oil_st,oil,37.1,14,10.19,3.17,1.5,50,37,1,1
KHANMEANCHAY,oil_st,oil,48.12,19,10.19,3.17,1.5,50,48,1,1
CENTRALE3,oil_ic,oil,15.4,6,10.33,3.17,1.5,50,15,1,1
CENTRALE5,oil_ic,oil,10,4,10.33,3.17,1.5,50,10,1,1
CENTRALE6,oil_ic,oil,18.6,7,10.33,3.17,1.5,50,19,1,1
KHANRUSSEYKEOCOLBEN,oil_ic,oil,14.8,5,10.19,3.17,1.5,50,15,1,1
SIEMRIEP,oil_ic,oil,6.95,2,10.33,3.17,1.5,50,7,1,1
